BONTOK WORD,PART OF SPEECH,DEFINITION,PRONUNCIATION,ROOT,AFFIX ,MORPHOLOGICAL PHENOMENA,EXAMPLE SENTENCE,SENTENCE TRANSLATION,VARIATIONS,PLURAL FORM,NOTES,
-an,Suffix,"A voice-marking suffix, non-completive aspect, which subjectivalizes the locative case relation.",/an/,N/A,N/A,N/A,Pay-am nan tasas kapi.,Put some coffee in the cup.,N/A,N/A,,-an
-an-,Circumfix,Plural affix occuring with some adjectives.,/an/,N/A,N/A,N/A,Banan-ig.,Small (Plural).,N/A,N/A,,-an-
-in-,Prefix / Infix,Marks completive aspect of verbs; attaches with suffixes or infixes.,/in/,N/A,-in-,N/A,Ginatínanda nan éwes.,They stepped on the blanket.,N/A,N/A,N/A,-in-
-om-,Infix,"Voice-marking infix for verbs; marks non-completive aspect and subjectivizes the agent of motion, reversal, partitive, causative, or process verbs.",/om/,N/A,-om-,N/A,Omálikas na.,Come here.,N/A,N/A,,-om-
aamam-a,Noun,Plural word for ama (male),/a.a.mam.a/,ama,N/A,Reduplication,Sino nan deyda aamam-a sidi?,Who are those old folks?,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",aamam-a
ab-abayan,Verb,encourage one who is relating a story by agreeing with what is said,/ab.a.ba.yan/,abay,"ab-, -an","Reduplication, Suffixation",Amanda ab-abayan nan og-ogod Pasong.,They encouraged Pasong to continue his story.,N/A,N/A,Present Tense,ab-abayan
ab-abayan,Verb,To encounter one who is relating a story by agreeing with what is said.,/ab.a.bá.yan/,abay,-an,Suffixation,Amanda ab-abayan nan og-good Pasong.,They encouraged Pasong to continue his story.,N/A,N/A,,ab-abayan
ab-abba,Verb,"To grow out of the side of the gum, of a tooth which grows above another tooth.",/ab.ab.ba/,ab-abba,N/A,N/A,N/A,N/A,N/A,N/A,,ab-abba
ab-abba,Verb,"To carry on the back in play, as a child carries doll, or children carrying each other, especially of girls carrying boys on their backs in play.",/ab.ab.ba/,ab-abba,N/A,N/A,N/A,N/A,N/A,N/A,Present Tense,ab-abba
ab-abbaen,Verb,"To carry on the back in play, as a child carries a doll, or children carrying each other, especially of girls carrying boys on their backs in play.",/ab.ab.ba.en/,ab-abba,-en,Suffixation,Ab-abbaen Maymay nan an-annakna.,Maymay carries her doll on her back.,N/A,N/A,Present Tense,ab-abbaen
ab-abbong,Verb,"A children's game, in which they make toy houses.",/ab.a.bong/,ab-abbong,N/A,N/A,N/A,N/A,N/A,N/A,,ab-abbong
ab-abbongenda,Verb,"A children's game, in which they make toy houses.",/ab.á.bo.ngen.da/,ab-abbong + da,-en,"Infixation, Derivation",Ab-abongenda nan balat.,They are making a toy house out of banana stalk.,N/A,N/A,,ab-abbongenda
ab-abiik,Noun,A person who has the same name as oneself.,/ab.a.bí.ík/,ab-abiik,N/A,N/A,N/A,N/A,N/A,N/A,,ab-abiik
ab-abiikko,Noun,A person who has the same name as oneself.,/ab.a.bí.ik.ko/,ab-abiik + ko,N/A,Derivation,Si ne nan ab-abiik ko?,Who also has my name?,N/A,N/A,,ab-abiikko
ab-aboboyan,Verb,"To crowd around; to surround; to follow through curiosity; to swarm around, of bees.",/ab.a.bo.bo.yan/,aboboy,-an,"Reduplication, Suffixation",Igda ab-aboboyan nan balod ay linmayaw.,They are crowding around the prisoner who escaped.,N/A,N/A,,ab-aboboyan
ab-abodana,Verb,"To imitate in play or as a joke, what someone else is doing or saying.",/ab.a.bo.da.na/,abod + na,N/A,"Reduplication, Derivation",Ab-abodana nan kankanak.,He is imitating what I am saying.,N/A,N/A,Present Tense,ab-abodana
ab-abot,Verb,To play marbles; the game of marbles.,/ab.abot/,ab-abot,N/A,N/A,N/A,N/A,N/A,N/A,,ab-abot
ab-afongan,Noun,"The building which is the social and religious hub of a village ward. It also serves as a dormitory for boys, unmarried men and widowers, and as a repository for the religious artifacts of the ward, and for the skulls of beheaded enemies.",/ab.a.fo.ngan/,afong,-an,"Reduplication, Suffixation",Nan an-afongan ay ay-ayan nan kaarubayan.,The ab-afongan is the center of the neighborhood.,ab-abongan,N/A,"Common Noun
Concrete Noun
Countable Noun",ab-afongan
aba,Noun,The act of carrying something on the back.,/a.ba/,aba,N/A,N/A,N/A,N/A,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun
",aba
abaab,Noun,The V-cut made when chopping down a tree; to widen a V-cut when chopping down a tree.,/a.bá.ab/,abaab,N/A,N/A,N/A,N/A,N/A,N/A,Concrete Noun,abaab
abaabna,Noun,The V-cut made when chopping down a tree; to widen a V-cut when chopping down a tree.,/a.bá.ab.na/,abaab + na,N/A,Derivation,Ew-ewaem nan abaab na ta daan ya mapoyo.,Widen the cut so the tree will soon be felled.,N/A,N/A,,abaabna
abaan,Noun,A pondfield with a deep mud layer.,/a.bá.an/,abaan,N/A,N/A,"Gawis nan abaan si payew, tay masiken nan pagey.",A deep pondfield is good because rice grows well in it.,N/A,N/A,Concrete Noun,abaan
abab,Verb,To place filling behind the rockes of a terrace wall especially during wall building.,/á.bab/,abab,N/A,N/A,N/A,N/A,N/A,N/A,,abab
ababem,Verb,To place filling behind the rockes of a terrace wall especially during wall building.,/a.bábem/,abab,-em,Prefixation,Ababem nan ayom.,Completely fill the hollow.,N/A,N/A,Future Tense,ababem
abad,Verb,"To fight; to meet head on, as water buffalo when fighting.",/a.bad/,abad,N/A,N/A,N/A,N/A,N/A,N/A,,abad
abak,Verb,"To defeat; to excel; to surpass, as in a fight, game, contest, political position or lawsuitl to get the best end of a deal; to outdo someone socially.",/ábak/,abak,N/A,N/A,N/A,N/A,N/A,N/A,Present Tense,abak
abako,Verb,"To claw; to scratch, of an animal.",/a.ba.ko/,abako,N/A,N/A,N/A,N/A,N/A,N/A,,abako
aban,Verb,To carry a child using a carrying basket.,/ab.ban/,aban,N/A,N/A,N/A,N/A,N/A,N/A,,aban
abaney,Verb,To plant or gather this sugarcane.,/a.bá.ney/,abaney,N/A,N/A,N/A,N/A,N/A,N/A,,abaney
abang,Verb,"To unite in performing a task, as in attempting to finish a job or to defeat an enemy.",/áb.bang/,abang,N/A,N/A,N/A,N/A,badang; abbang,N/A,Present Tense,abang
abang,Verb,"To crawl over; to swarm around, of many insects.",/áb.bang/,abang,N/A,N/A,N/A,N/A,abbang,N/A,Present Tense,abang
abang,Verb,To rent; the amount of rent that one pays.,/á.bang/,abang,N/A,N/A,N/A,N/A,abbang,N/A,,abang
abangantako,Verb,N/A,/a.bá.ngan.ta.ko/,"abang, tako",-an,"Infixation, Derivation",Abangantako nan dalos ta daan ay somaal tako.,Let's all work on cleaning the field so that we can go home soon.,N/A,N/A,,abangantako
abat,Verb,"To meet, usually by plan or prior arrangement.",/á.bat/,abat,N/A,N/A,N/A,N/A,N/A,N/A,,abat
abat,Noun,One's ward association.,/á.bat/,abat,N/A,N/A,N/A,N/A,N/A,N/A,,abat
abat,Verb,To associate with a men's ward.,/á.bat/,abat,N/A,N/A,N/A,N/A,N/A,N/A,,abat
abat,Verb,To perform a ceremony for someone who has had a spirit encounter.,/á.bat/,abat,N/A,N/A,N/A,N/A,N/A,N/A,,abat
abatmo,Noun,One's ward association.,/á.bat.mo/,abat + mo,N/A,Derivation,Ad ne nan abatmo?,What ward do you associate with?,N/A,N/A,,abatmo
abay,Verb,To encounter one who is relating a story by agreeing with what is said.,/á.bay/,abay,N/A,N/A,N/A,N/A,ab-abay,N/A,,abay
abaya,Verb,To lean on a door or a sill while looking into or out of a house.,/a.bá.ya/,abaya,N/A,N/A,N/A,N/A,N/A,N/A,,abaya
abba,Verb,To lead astray; to teach someone bad habits.,/ab.ba/,abba,N/A,N/A,N/A,N/A,N/A,N/A,,abba
abbaan,Verb,To lead astray; to teach someone bad habits,/ab.ba.an/,abba,-an,Suffixation,Igyo abbaan nan naodik man.,You are leading my young brother astray.,N/A,N/A,Present Tense,abbaan
abbaan,Verb,To lead astray; to teach someone bad habits.,/ab.ba.an/,abba,-an,Suffixation,Igy abbaan nan naodik man.,You are leading my young brother astray.,N/A,N/A,,abbaan
abbag,Verb,"To clean adhering dirt from sweet potato leaves, by shaking, or washing in water; to separate undesirable things from the desirable, as weeds from a basket which should contain only beans; to remove pollen from grass stalks.",/ab.bag/,abbag,N/A,N/A,N/A,N/A,N/A,N/A,,abbag
abbagam,Verb,"To clean adhering dirt from sweet potato leaves, by shaking, or washing in water; to separate undesirable things from the desirable, as weeds from a basket which should contain only beans; to remove pollen from grass stalks.",/ab.ba.gam/,abbag,-am,Prefixation,Abbagam man sa nan galpak.,Clean the rubbish out from among the bean pods.,N/A,N/A,,abbagam
abbawil,Verb,To support oneself by leaning on one arm against an object; to hang by one arm from an object.,/ab.ba.wil/,abbawil,N/A,N/A,N/A,N/A,N/A,N/A,,abbawil
abbingi,Noun,"A sixth finger, usually an extra thumb, occurring in the children of certain families.",/ab.bing.gi/,abbingi,N/A,N/A,N/A,N/A,N/A,N/A,,abbingi
abbod,Verb,"To wrap around something, like a person in a blanket, or to use a large object (like a banana leaf) for wrapping.",/ab.bod/,abbod,N/A,N/A,N/A,N/A,N/A,N/A,,abbod
abbodko,Verb,"To wrap around something, like a person in a blanket, or to use a large object (like a banana leaf) for wrapping.",/ab.bod.ko/,abbod + ko,N/A,Derivation,"Nan naay ewes, nan abbodko.",This blanket is what I will wrap around me.,N/A,N/A,,abbodko
abbong,Verb,"To cover, of inanimate objects as rice seedlings, to protect them from the sun, or to hide them.",/ab.bong/,abbong,N/A,N/A,N/A,N/A,N/A,N/A,,abbong
abel,Verb,To weave cloth.,/a.be/,abel,N/A,N/A,N/A,N/A,N/A,N/A,,abel
abeldang,Verb,"To co-own a water buffalo or animal with another, esp. across villages; the relationship itself.",/a.bel.dang/,abeldang,N/A,N/A,N/A,N/A,N/A,N/A,,abeldang
abeldangko,Verb,"To co-own a water buffalo or animal with another, esp. across villages; the relationship itself.",/a.bel.dang.ko/,abeldang + ko,N/A,Derivayion,Si tod-i nan abeldangko.,He owns a water buffalo with me.,N/A,N/A,,abeldangko
abet,Verb,"To join; to meet; to come together, of inanimate objects, as the edges of a wound; to recover, of a woman after childbirth.",/a.bet/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,abet
abig,Verb,To restrict oneself from certain activities adter participating in certain ceremonies.,/á.big/,abig,N/A,N/A,N/A,N/A,N/A,N/A,,abig
abigenda,Verb,To restrict oneself from certain activities after participating in certain ceremonies.,/á.bi.gen.da/,abig + da,N/A,Derivation,Abigenda nan bilis.,They are restricted from eating dried fish.,N/A,N/A,Past Tense,abigenda
abiik,Kinship,The relationship between people bearing the same name.,/abí.ik/,abiik,N/A,N/A,N/A,N/A,N/A,N/A,,abiik
abilat,Kinship,The relationship beween spouses of siblings.,/a.bi.lat/,abilat,N/A,N/A,N/A,N/A,N/A,N/A,,abilat
abkal,Verb,"To fly away, of a flock of birds; to scatter, of people or animals; to break apart, as poorly cooked rice cakes.",/ab.kal/,abkal,N/A,N/A,N/A,N/A,N/A,N/A,,abkal
abkas,Verb,"To spring, release or set off, of a spring release bird or animal trap; to be sprung, of a báoy water operated scarecrow which is not operating.",/ab.kas/,abkas,N/A,N/A,N/A,N/A,N/A,N/A,,abkas
abkey,Verb,To dig up selected sweet potato without disturbing the above ground growth.,/ab.key/,abkey,N/A,N/A,N/A,N/A,N/A,N/A,,abkey
aboboy,Verb,"To crowd around; to surround; to follow through curiosity; to swarm around, of bees.",/abo.boy/,aboboy,N/A,N/A,N/A,N/A,N/A,N/A,,aboboy
abod,Verb,"To imitate in play or as a joke, what someone else is doing or saying.",/a.bod/,abod,N/A,N/A,N/A,N/A,N/A,N/A,,abod
abol,Verb,"To copy; to do what someone else is doing, as children who cry because others are, or who get angry because someone else is; to agree with.",/a.bol/,abol,N/A,N/A,N/A,N/A,N/A,N/A,,abol
abon,Verb,"To group together for eating, when each person brings something to be cooked.",/a.bon/,abon,N/A,N/A,N/A,N/A,N/A,N/A,,abon
abong,Noun,A house; one’s residence.,/á.bong/,abong,N/A,N/A,N/A,N/A,N/A,N/A,,abong
abong,Verb,"To perform the marriage ceremonies preparatory to living together in the same house, of the couple who are marrying.",/á.bong/,abong,N/A,N/A,N/A,N/A,N/A,N/A,,abong
abong,Noun,"Inside, of a house, a room, a granary or other building.",/á.bong/,abong,N/A,N/A,As abong tay ig in-alibokawkaw.,It is very dark inside.,N/A,N/A,,abong
abongmi,Noun,A house; one’s residence.,/á.bong.mi/,abong + mi,N/A,Derivation,Siya na nan abong mi.,This is our house.,N/A,N/A,,abongmi
abos,Verb,To pay a debt; to fulfil an obligation.,/á.bos/,abos,N/A,N/A,N/A,N/A,N/A,N/A,,abos
abosen,Verb,To pay a debt; to fulfill an obligation.,/á.bo.sen/,abos,-en,Suffixation,Daanmi abosen nan otangmi an dakayo.,We haven’t paid our debt to you.,N/A,N/A,Future Tense,abosen
abot,Noun,"Strength, as in fighting or carrying; advantage; (usually used with negative).",/á.bot/,abot,N/A,N/A,Main met abot mo an Takdeg.,I have no strength against Takdeg.,N/A,N/A,,abot
abot,Verb,To dig or make a hole; a hole.,/a.bot/,abot,N/A,N/A,N/A,N/A,N/A,N/A,,abot
aboy,Verb,"To shout ew, ew, as a sign that an auspicious bird omen has beenreceived during the iyag omen-getting activity.",/a.boy/,aboy,N/A,N/A,N/A,N/A,N/A,N/A,,aboy
aboy,Verb,"To pray for the wellbeing of something or someone; to ask for a good trail, that is with no bad omens, or to ask for good weather before a wedding ceremony, or to ask for the wellbeing of a sweet potato crop.",/á.boy/,aboy,N/A,N/A,N/A,N/A,N/A,N/A,,aboy
aboyet,Verb,To crowd around someone in order to cause injury; to gang up on someone.,/a.bó.yet/,aboyet,N/A,N/A,N/A,N/A,N/A,N/A,,aboyet
aboyet,Verb,"To be disturbed; to be upset, of young children who have been taken to a feast or some other ceremony and who are restless or cry a lot on their return home. It is assumed that they have been spoken to by a spirit.",/a.bó.yet/,aboyet,N/A,N/A,N/A,N/A,N/A,N/A,,aboyet
aboyetan,Verb,To crowd around someone in order to cause injury; to gang up on someone.,/a.bó.ye.tan/,aboyet,-an,Suffixation,Entakot aboyetan siya.,Let's go and gang up on him.,N/A,N/A,,aboyetan
aboyo,Verb,"To boil for an extended period, of sugarcane juice in the preparation of sugarcane wine.",/a.bó.yo/,aboyo,N/A,N/A,N/A,N/A,N/A,N/A,Present Tense,aboyo
aboyoywen,Verb,"To boil for an extended period, of sugarcane juice in the preparation of sugarcane wine.",/a.bó.yo.wen/,aboyo,-en,"Reduplication, Suffixation",Aboyowen da ad Dakking nan bayas.,They are cooking the sugarcane wine at Dakkong.,N/A,N/A,,aboyoywen
achalan,Noun,Where a person finished their education.,/a.tsa.ran/,achar,-an,Suffixation,Sinabat da nan amam-a idi acharan da.,The elders met them at their place of graduation.,adalan; acharan,N/A,"Common Noun
Concrete Noun
Countable Noun",achalan
ad,Article,"Marker of locative phrases containing a class, place, name.",/ad/,N/A,N/A,N/A,Omeyak ad Bontok.,I'm going to Bontoc.,N/A,N/A,N/A,ad
ad,Article,"Marker of time phrases containing a post-relational time word, or non-relational time word when the reference is past.",/ad/,N/A,N/A,N/A,Ad gogga.,Yesterday.,N/A,N/A,,ad
ad-ad,Verb,To chop off sapwood to lighten a load or reach heartwood; to cut too deeply.,/ad.ad/,ad-ad,N/A,N/A,N/A,N/A,N/A,N/A,Present Tense,ad-ad
ad-adogan,Verb,To sing the death wail.,/ad.ado.gan/,adog,-an,Suffxation,Ad-adogandas Lagob ay natey ad Sadanga.,They aresinging the death wail for Lagob who died in Sadanga.,ad-achogan,N/A,,ad-adogan
ad-icha,Verb,They do not want; expressing refusal or negation in the third person plural,/ad.i.cha/,adi + cha,N/A,Derivation,Ad-icha layden ay sumali.,They refuse to participate.,adida,N/A,Present Tense,ad-icha
adag,Verb ,To make fire beneath bundles of newly cut rattan in order to dry them out.,/á.da.g/,adag,N/A,N/A,N/A,N/A,N/A,N/A,,adag
adagan,Verb,To make a fire beneath bundles of newly cut rattan in order to dry them out.,/á.da.gan/,adag,-an,Suffixation,Adagan mi nan owey ta yomap-ew.,We build a fire under the rattan so it becomes lighter.,N/A,N/A,Present Tense,adagan
adang,Verb,To give a wedding gift.,/a.dang/,adang,N/A,N/A,N/A,N/A,N/A,N/A,,adang
adas,Verb,"To shape of a log of wood; to chop plane surfaces onto a log, especially of the shaping of the kintong log taken to the home of one's bride during a wedding ceremony.",/á.dá.s/,adas,N/A,N/A,N/A,N/A,N/A,N/A,,adas
adasan,Verb,"To shape of a log of wood; to chop plane surfaces onto a log, especially of the shaping of the kintong log taken to the home of one's bride during a wedding ceremony.",/á.da.san/,adas,-an,Suffixation,Adasan yo ayostonan kintong.,You shape the wedding log properly.,N/A,N/A,Present Tense,adasan
adatal,Noun,Paving,/a.dá.tal/,adatal,N/A,N/A,Maosal koma nas adatal.,This can be used for paving.,N/A,N/A,,adatal
adatal,Verb,To pave; to cover the ground with rocks or boards.,/a.dá.tal/,adatal,N/A,N/A,N/A,N/A,N/A,N/A,Abstract Noun,adatal
adatalam,Verb,To pave; to cover the ground with rocks or boards.,/a.dá.ta.lam/,adatal,-am,Suffixation,Adatalam nan naay si losab,Cover the ground here with boards.,N/A,N/A,,adatalam
adawal,Verb,"To reach something, as to get an object from a high shelf.",/a.dá.wal/,adawal,N/A,N/A,N/A,N/A,N/A,N/A,Present Tense,adawal
adawalem,Verb,"To reach something, as to get an object from a high shelf.",/a.dá.wa.lem/,adawal,-em,Suffixation,Adawalem nan sokop si salaley.,Reach out for the sokop basket on the drying place above the fire.,N/A,N/A,,adawalem
adcharem,Verb,"To be deep, of a hole.",/ad.tsá.rem/,adchárem,N/A,N/A,Ig adchárem nan farey si ótot.,The rat hole was very deep.,N/A,N/A,Past Tense,adcharem
adchawi,Adjective,Far; long,/ad.tsa.wi/,dáwi,ad-,Prefixation,Adchawi nan afong mi.,Our house is far.,N/A,N/A,"Descriptive Adjective
Positive Degree",adchawi
adeg,Verb,"To be covered with debris, of a pondfield afer the collapse of a higher terrace wall.",/a.deg/,adeg,N/A,N/A,N/A,N/A,N/A,N/A,,adeg
adep,Verb,To extinguish a fire.,/a.dep/,adep,N/A,N/A,N/A,N/A,N/A,N/A,,adep
adep,Verb,"To flatten, of the action of strong wind and rain on growing rice or cogon grass.",/á.dep/,adep,N/A,N/A,N/A,N/A,N/A,N/A,,adep
adepem,Verb,To extinguish a fire.,/a.de.pem/,adep,-em,Suffixation,Adepem nan apoy ta adi igibanbanaang.,Put out the fire so it won’t blaze up.,N/A,N/A,Present Tense,adepem
adi,Verb,No; not ; negative of verbs and adjectives.,/a.di/,adi,N/A,N/A,Adi gawis nan badona.,His shirt is not good.,ad-i; achi,N/A,Negative Adverb,adi
adi,Verb,To forbid something.,/a.di/,adi,N/A,N/A,N/A,N/A,ad-i,N/A,,adi
adi,Verb,"To be neglected; to be overgrown; to fall into disuse, as a pondfield, garden or house.",/a.di/,adi,N/A,N/A,N/A,N/A,ad-i; achi,N/A,,adi
adi pay,Particle,"A word used to start sentences or paragraphs, especially when telling a story. It shows that something happens next in time, similar to saying “after that” or “then.”",/a.di.pay/,adi pay,N/A,N/A,Adi pay sinmáalkamis nan ílida.,Then we entered their village.,N/A,N/A,,adi pay
adida,Verb,No; not negative of verbs and adjectives.,/a.di.da/,adi + da,N/A,Derivation,Adida layden ay mangan.,They don't want to eat.,ad-ida; adicha; ad-icha,N/A,,adida
adik,Verb,I do not want (First person),/ad.ik/,adi,-k,Suffixation,Adik layden ay inchono.,I don't want to work.,N/A,N/A,Present Tense,adik
adikaila,Adjective,Unable to view or see,/adi.ka.i.la/,"adi, ila",ka-,"Compounding, Infixation",Adikaila nan chana itudu.,We cannot see what he is pointing.,N/A,N/A,"Descriptive Adjective
Positive Degree",adikaila
adina,Verb,He/she/it did not want; refused; did not wish to do something.,/a.di.na/,adi,-na,Suffixation,Adína laychen ay mangan.,They don't want to eat.,achina,N/A,Present Tense,adina
adkay,Verb,"To push with the feet; to kick off, as a blanket.",/ad.kay/,adkay,N/A,N/A,N/A,N/A,sidkay; sikyad,N/A,,adkay
adkayan,Verb,"To push with feet; to kick off (e.g., blanket)",/ad.ka.yan/,adkay,-an,Suffixation,Adim adkayan nan awes mo tay inlateng.,Don’t kick off your blanket because it is cold.,N/A,N/A,Future Tense,adkayan
adkayan,Verb,"To push with the feet; to kick off, as a blanket.",/ad.ka.yan/,adkay,-an,Suffixation,Adim adkayan nan ewesmo tay inlateng.,Don't kick off your blanket because it is cold.,sidkayan; sikyadan,N/A,,adkayan
adog,Noun,Death wail; dirge.,/a.dog/,adog,N/A,N/A,Omegyatak ay mamanngel sinan adog sinan masdem.,I am afraid to listen to the death wail at night.,achog,N/A,"Common Noun
Concrete Noun
Countable Noun",adog
adog,Noun,Death wail; dirge,/á.dog/,ádog,N/A,N/A,Ad-ádogandas Lágob ay natey ad Sadanga.,They are singing the death wail for Lágov who died in Sadanga.,N/A,N/A,Abstract Noun,adog
adwani,Adverb,"Now, at the present time; To-day",/ad.wa.ni/,adwani,N/A,N/A,En-oto-ak ngen adwani?,Shall I cook now?,idwani,N/A,Adverb of Time,adwani
afolot,Verb,To imitate; to copy; to follow,/a.fo.lot/,afolot,N/A,N/A,Afolot mo nan chak angnen.,Repeat what I'm doing.,abolot,N/A,Present Tense,afolot
afong ,Noun,A family dwelling; a one-room house.,/a.fong/,abong,N/A,N/A,Siya na nan áfongmi.,This is our house.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",afong
ag-aggal,Verb,To pretend to cry.,/á.g.agal/,ágal,N/A,Reduplication,In ag-ággal kanu sisya san kawni.,He was pretending to cry a while ago.,N/A,N/A,,ag-aggal
agaag,Verb,To sieve (separate rice from husk; clean snails in water),/a.ga.ag/,agaag,N/A,N/A,Iyolim kaysanan yakayak ta agaag ek nan nay tapa.,Bring me the basket so I can sieve the husks.,N/A,N/A,Present Tense,agaag
agag,Verb,To employ labor.,/á.gag/,ágag,N/A,N/A,Agágem da tod-i tay maid donowenda.,"Employ those people, because they have no work to do.",N/A,N/A,,agag
agagem,Verb,To employ labor; employment,/a.ga.gem/,agag,-em,Suffixation,"Agagem da todi, tay maid donowen da.","Employ those people, because they have no work.",N/A,N/A,Future Tense,agagem
agakat,Verb,"To save; to rescue, as rice which is left on the ground after gathering in the bundles of rice which have been drying in the sun; to pick up and carry home, of a child which cries on the trail.",/a.gá.kat/,agákat,N/A,N/A,Agakátenyo non ogas tay ay-ayyew. ,"Pick up the grains of rice which have dropped on the ground, so they will not be wasted.",N/A,N/A,Future Tense,agakat
agakop,Verb,"To gather under its wings, of a hen gathering its chickens when a hawk or crow appears.",/a.gá.kop/,agákop,N/A,N/A,Mo wad-ay labaan agákopen nan mangalak nan an-akna.,"When there is a hawk, the hen gathers its chicks under her wings.",N/A,N/A,Present Tense,agakop
agal,Verb,To cry; the sound of crying,/á.gal/,ágal,N/A,N/A,Iyágalna nan sikina ay linmaman.,She is crying because of her leg which is swollen.,N/A,N/A,Present Tense,agal
aganat,Verb,"To pull away, draw in, tuck up",/a.gá.nat/,agánat,N/A,N/A,Agánat em nan awes mo ta adi omey sinan dapol.,Pull your blanket back so it will not go into the dirt.,N/A,N/A,Present Tense,aganat
agap,Verb,"To pare, whittle, cut small pieces",/á.gap/,ágap,-em,Suffixation,Agápem nan óbi.,Cut up the sweet potato into small pieces.,N/A,N/A,Present Tense,agap
agas,Noun,Store-bought medicine.,/á.gas/,ágas,N/A,N/A,Agás ay safeng,Safeng is a medicine.,akhás,N/A,"Common Noun
Concrete Noun
Countable Noun",agas
agaya,Noun,Something added to the value; to place a value on something.,/a.gá.ya/,agáya,N/A,N/A,Akit nan inegwalna ay labbotako ta agaya pay si idaonmas pageyna.,"He only gave us a little pay, so he could add it to the value of his rice.",N/A,N/A,Countable Noun,agaya
agdoyos,Verb,"To be oval in shape, as some baskets and the natural shape of some rocks.",/ag.dó.yos/,agdóyos,N/A,N/A,Saka lomako as tolo ay inag-agdoyos ay saldinas ad Bontok.,Buy three oval cans of sardines in Bontoc,N/A,N/A,Future Tense,agdoyos
ages,Adverb,Also.,/a.ges/,ages,N/A,N/A,Inmeykami ages.,We also went.,N/A,N/A,,ages
agew,Adverb,Day.,/a.gew/,agew,N/A,N/A,Ngag ay agew nan kasar?,When will the wedding be held?,N/A,N/A,,agew
aggálan,Noun,A person who cries a lot.,/á.ga.lan/,ágal,-an,Suffixation,Aggálan pet ay si anuchim.,Your little brother cries a lot.,N/A,N/A,,aggálan
agi,Noun,"Any consanguineal relative, but especially of distant relatives whose actual relationship is obscure.",/a.gi/,agi,N/A,N/A,Angsanda nan agimid Bontok tay siya nan nalpowan nan apomi's kaysan.,We have many relatives in Bontoc because that is where our ancestors came from.,N/A,N/A,,agi
