word,meaning,translation,source,morphology,root,processes,type,meaning,partial chunk,form,normalized_form
abásto,supplies,supplies,Dictionary A,"{""root"":""abás"",""processes"":[{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}]}",abás,"{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}",suffix,3sg genitive enclitic,-,-to,abasto
ábay,"side, proximity; to approach, go near person or object close by (on -); put beside (i-)",side,Dictionary A,"{""root"":""ábay"",""processes"":[]}",ábay,-,-,-,-,-,abay
kaábay (pl. kabkaábay),person or object close by; neighbor,beside,Dictionary A,"{""root"":""kaábay (pl. kabkaábay)"",""processes"":[]}",kaábay (pl. kabkaábay),-,-,-,-,-,kaabay
sanábay (pl. sanáabay),relative,relative,Dictionary A,"{""root"":""sanábay (pl. sanáabay)"",""processes"":[]}",sanábay (pl. sanáabay),-,-,-,-,-,sanabay
abél,cloth,cloth,Dictionary A,"{""root"":""abél"",""processes"":[]}",abél,-,-,-,-,-,abel
abét,to meet (on -),meet,Dictionary A,"{""root"":""abét"",""processes"":[]}",abét,-,-,-,-,-,abet
abétabét,reenactment of Christ’s meeting with his mother after the resurrection,,Dictionary A,"{""root"":""abét"",""processes"":[{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CVCV-"",""normalized_form"":""CVCV"",""partial_chunk"":""abét""}]}",abét,"{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CVCV-"",""normalized_form"":""CVCV"",""partial_chunk"":""abét""}",reduplication,partial reduplication (plural nouns),abét,CVCV-,abetabet
paabét,to give as a gift,give,Dictionary A,"{""root"":""abét"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""""}]}",abét,"{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""""}",nasal_prefix,causative/instrumental nasal-assimilating,-,paN-,paabet
aviadór,pilot,pilot,Dictionary A,"{""root"":""aviadór"",""processes"":[]}",aviadór,-,-,-,-,-,aviador
ábig,"good, fine; be well (on -)",good,Dictionary A,"{""root"":""ábig"",""processes"":[]}",ábig,-,-,-,-,-,abig
maábig,"good, fine, well, sound, healthy",fine,Dictionary A,"{""root"":""ábig"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, non-completed)"",""form"":""maN-"",""normalized_form"":""ma"",""applied_allomorph"":""""}]}",ábig,"{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, non-completed)"",""form"":""maN-"",""normalized_form"":""ma"",""applied_allomorph"":""""}",nasal_prefix,"actor focus (nasal-assimilating, non-completed)",-,maN-,maabig
mabábig,agreeable,agreeable,Dictionary A,"{""root"":""bábig"",""processes"":[{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""}]}",bábig,"{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""}",prefix,causative / stative,-,ma-,mababig
makapaábig,"be pleasant, agreeable to one",agreeable to one,Dictionary A,"{""root"":""kapaábig"",""processes"":[{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""}]}",kapaábig,"{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""}",prefix,causative / stative,-,ma-,makapaabig
kabkaabigán,just right,just right,Dictionary A,"{""root"":""kabkaabigán"",""processes"":[]}",kabkaabigán,-,-,-,-,-,kabkaabigan
pamaábig,"betterment (of community, town, etc.)",betterment,Dictionary A,"{""root"":""ábig"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""m""},{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, completed)"",""form"":""aN-"",""normalized_form"":""a"",""applied_allomorph"":""""}]}",ábig,"{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""m""},{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, completed)"",""form"":""aN-"",""normalized_form"":""a"",""applied_allomorph"":""""}",nasal_prefix,causative/instrumental nasal-assimilating,-,paN-,pamaabig
abilidád,ability,ability,Dictionary A,"{""root"":""abilidád"",""processes"":[]}",abilidád,-,-,-,-,-,abilidad
abóbon,"agree, consent, approve",agree,Dictionary A,"{""root"":""abóbon"",""processes"":[]}",abóbon,-,-,-,-,-,abobon
abóbot,"article, things",things,Dictionary A,"{""root"":""abóbot"",""processes"":[]}",abóbot,-,-,-,-,-,abobot
abogádo,lawyer,lawyer,Dictionary A,"{""root"":""abogádo"",""processes"":[]}",abogádo,-,-,-,-,-,abogado
abóloy,readily allow or agree to (on -),agree,Dictionary A,"{""root"":""abóloy"",""processes"":[]}",abóloy,-,-,-,-,-,aboloy
aboloyán,agreement,agreement,Dictionary A,"{""root"":""aboloyán"",""processes"":[]}",aboloyán,-,-,-,-,-,aboloyan
abúno,fertilizer,fertilizer,Dictionary A,"{""root"":""abúno"",""processes"":[]}",abúno,-,-,-,-,-,abuno
abóng,"home, house, dwelling; set up house (man -)",house,Dictionary A,"{""root"":""abóng"",""processes"":[]}",abóng,-,-,-,-,-,abong
paabóng,feel at home; make (one) at home,feel at home,Dictionary A,"{""root"":""abóng"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""""}]}",abóng,"{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""""}",nasal_prefix,causative/instrumental nasal-assimilating,-,paN-,paabong
sankaabongán,"neighbors, people from same locality",neighbors,Dictionary A,"{""root"":""sankaabongán"",""processes"":[]}",sankaabongán,-,-,-,-,-,sankaabongan
aborído,"distraught; ill at ease, worried",distraught,Dictionary A,"{""root"":""aborído"",""processes"":[]}",aborído,-,-,-,-,-,aborido
aboróg,"rash of red spots on skin caused by allergic reaction to somethingn eaten, esp. fruit",rash,Dictionary A,"{""root"":""aboróg"",""processes"":[]}",aboróg,-,-,-,-,-,aborog
abosádo,throw a tantrum (man -),tantrum,Dictionary A,"{""root"":""abosádo"",""processes"":[]}",abosádo,-,-,-,-,-,abosado
ábot,to catch up (with),catch up,Dictionary A,"{""root"":""ábot"",""processes"":[]}",ábot,-,-,-,-,-,abot
abót,"hole, pit; dig a hole (man -)",hole,Dictionary A,"{""root"":""abót"",""processes"":[]}",abót,-,-,-,-,-,abot
abracÉtE,to hold someone by grasping the upper arms,grasp,Dictionary A,"{""root"":""abracÉtE"",""processes"":[]}",abracÉtE,-,-,-,-,-,abracete
abríl,April,april,Dictionary A,"{""root"":""abríl"",""processes"":[]}",abríl,-,-,-,-,-,abril
adiós,goodbye,goodbye,Dictionary A,"{""root"":""adiós"",""processes"":[]}",adiós,-,-,-,-,-,adios
admíra,to admire,admire,Dictionary A,"{""root"":""admíra"",""processes"":[]}",admíra,-,-,-,-,-,admira
aduána,Bureau of Internal Revenue,Bureau of Internal Revenue,Dictionary A,"{""root"":""aduána"",""processes"":[]}",aduána,-,-,-,-,-,aduana
adóbo,"way of preparing meat by cooking with vinegar, spices, etc.",adobo,Dictionary A,"{""root"":""adóbo"",""processes"":[]}",adóbo,-,-,-,-,-,adobo
adórno,"to decorate, garnish",garnish,Dictionary A,"{""root"":""adórno"",""processes"":[]}",adórno,-,-,-,-,-,adorno
aeropláno,airplane,airplane,Dictionary A,"{""root"":""eropláno"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, completed)"",""form"":""aN-"",""normalized_form"":""a"",""applied_allomorph"":""""}]}",eropláno,"{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, completed)"",""form"":""aN-"",""normalized_form"":""a"",""applied_allomorph"":""""}",nasal_prefix,"actor focus (nasal-assimilating, completed)",-,aN-,aeroplano
ag,"not (usually phonologically bound to following word, as in ag ák‘not I’)",no,Dictionary A,"{""root"":""ag"",""processes"":[]}",ag,-,-,-,-,-,ag
agá,"(ag+ 3rd pers. singular pronoun) not he, she, it",not,Dictionary A,"{""root"":""agá"",""processes"":[]}",agá,-,-,-,-,-,aga
agáag,"of light: to be bright, widely distributed",be bright,Dictionary A,"{""root"":""agáag"",""processes"":[]}",agáag,-,-,-,-,-,agaag
agága,"attracted, become attracted (on -)",attracted,Dictionary A,"{""root"":""agága"",""processes"":[]}",agága,-,-,-,-,-,agaga
agagá,to miss,miss,Dictionary A,"{""root"":""agá"",""processes"":[{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CV-"",""normalized_form"":""CV"",""partial_chunk"":""ag""}]}",agá,"{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CV-"",""normalized_form"":""CV"",""partial_chunk"":""ag""}",reduplication,partial reduplication (plural nouns),ag,CV-,agaga
agamáng,small shrimp; seasoning made from salted agamáng,small shrimp,Dictionary A,"{""root"":""agamáng"",""processes"":[]}",agamáng,-,-,-,-,-,agamang
agát,ginger,ginger,Dictionary A,"{""root"":""agát"",""processes"":[]}",agát,-,-,-,-,-,agat
agáy,exclamation of surprise ‘how indeed!’,how indeed!,Dictionary A,"{""root"":""agáy"",""processes"":[]}",agáy,-,-,-,-,-,agay
agáyep,string beans,string beans,Dictionary A,"{""root"":""agáyep"",""processes"":[]}",agáyep,-,-,-,-,-,agayep
agél,"zeal, care, conscientiousness; take care, etc. (mañgi -)",care,Dictionary A,"{""root"":""agél"",""processes"":[]}",agél,-,-,-,-,-,agel
1ágew,day,day,Dictionary A,"{""root"":""1ágew"",""processes"":[]}",1ágew,-,-,-,-,-,1agew
"ágewágew, inágewágew","daily, every day",everyday,Dictionary A,"{""root"":""ágew, ágewágew"",""processes"":[{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":10},{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CVCV-"",""normalized_form"":""CVCV"",""partial_chunk"":""ágew""}]}","ágew, ágewágew","{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":10},{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CVCV-"",""normalized_form"":""CVCV"",""partial_chunk"":""ágew""}",infix,completed aspect marker,ágew,-in-,"agewagew, inagewagew"
2ágew,"sun; be light, sunny (on -)",sun,Dictionary A,"{""root"":""2ágew"",""processes"":[]}",2ágew,-,-,-,-,-,2agew
agéyet,mosquito; be bitten by mosquitoes (-en ),mosquito,Dictionary A,"{""root"":""agéyet"",""processes"":[]}",agéyet,-,-,-,-,-,ageyet
maagéyet,infested with mosquitoes,infested with mosquitoes,Dictionary A,"{""root"":""agéyet"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, non-completed)"",""form"":""maN-"",""normalized_form"":""ma"",""applied_allomorph"":""""}]}",agéyet,"{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, non-completed)"",""form"":""maN-"",""normalized_form"":""ma"",""applied_allomorph"":""""}",nasal_prefix,"actor focus (nasal-assimilating, non-completed)",-,maN-,maageyet
1agí,younger sibling or other person of same generation,sibling,Dictionary A,"{""root"":""1agí"",""processes"":[]}",1agí,-,-,-,-,-,1agi
2agí,"interjection of alarm: ‘alas’, ‘ouch!’","""oops!""",Dictionary A,"{""root"":""2agí"",""processes"":[]}",2agí,-,-,-,-,-,2agi
ágila,eagle,eagle,Dictionary A,"{""root"":""ágila"",""processes"":[]}",ágila,-,-,-,-,-,agila
aginaldó,Christmas present; to go asking for presents (mi-); to carol (carolers are usually rewarded for their efforts) (man-),Christmas present,Dictionary A,"{""root"":""agaldó"",""processes"":[{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":2}]}",agaldó,"{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":2}",infix,completed aspect marker,-,-in-,aginaldo
naaginaldó,proceeds from caroling,caroling,Dictionary A,"{""root"":""naagaldó"",""processes"":[{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":4}]}",naagaldó,"{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":4}",infix,completed aspect marker,-,-in-,naaginaldo
mísa aginaldó,misa de gallo,misa de gallo,Dictionary A,"{""root"":""mísa agaldó"",""processes"":[{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":7}]}",mísa agaldó,"{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":7}",infix,completed aspect marker,-,-in-,misa aginaldo
ágkit,sticky wax,sticky ,Dictionary A,"{""root"":""ágkit"",""processes"":[]}",ágkit,-,-,-,-,-,agkit
aguá,perfume; to (apply) perfume (man -),perfume,Dictionary A,"{""root"":""aguá"",""processes"":[]}",aguá,-,-,-,-,-,agua
aguánta,"fast, speedy, efficient, resourceful; become fast, etc. (on-)",fast,Dictionary A,"{""root"":""aguán"",""processes"":[{""type"":""suffix"",""meaning"":""1du inclusive genitive enclitic"",""form"":""-ta"",""normalized_form"":""ta""}]}",aguán,"{""type"":""suffix"",""meaning"":""1du inclusive genitive enclitic"",""form"":""-ta"",""normalized_form"":""ta""}",suffix,1du inclusive genitive enclitic,-,-ta,aguanta
ágom,greedy,greedy,Dictionary A,"{""root"":""ágom"",""processes"":[]}",ágom,-,-,-,-,-,agom
maágom,very greedy,very greedy,Dictionary A,"{""root"":""ágom"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, non-completed)"",""form"":""maN-"",""normalized_form"":""ma"",""applied_allomorph"":""""}]}",ágom,"{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, non-completed)"",""form"":""maN-"",""normalized_form"":""ma"",""applied_allomorph"":""""}",nasal_prefix,"actor focus (nasal-assimilating, non-completed)",-,maN-,maagom
ágos,to flow (on -),flow,Dictionary A,"{""root"":""ágos"",""processes"":[]}",ágos,-,-,-,-,-,agos
aguát,"to lift out of a hole, box, etc. (maN -)",lift,Dictionary A,"{""root"":""aguát"",""processes"":[]}",aguát,-,-,-,-,-,aguat
agósto,August,August,Dictionary A,"{""root"":""agós"",""processes"":[{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}]}",agós,"{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}",suffix,3sg genitive enclitic,-,-to,agosto
agtó,to carry on the head (man -),carry on the head,Dictionary A,"{""root"":""agtó"",""processes"":[]}",agtó,-,-,-,-,-,agto
ahÉntÉ,agent,agent,Dictionary A,"{""root"":""agÉntÉ,ahÉntÉ"",""processes"":[]}","agÉntÉ,ahÉntÉ",-,-,-,-,-,ahente
áhit,to shave (man -),shave,Dictionary A,"{""root"":""áhit"",""processes"":[]}",áhit,-,-,-,-,-,ahit
ak,I (subject/topic pronoun),I ,Dictionary A,"{""root"":""ak"",""processes"":[]}",ak,-,-,-,-,-,ak
ko,"(-kfollowing a vowel) by me, my",by me,"Dictionary A, Dictionary K","{""root"":""ko"",""processes"":[]}",ko,-,-,-,-,-,ko
siák,"I, me (independent pronoun)",Me,"Dictionary A, Dictionary S","{""root"":""siák"",""processes"":[]}",siák,-,-,-,-,-,siak
ákal,to recover from surprise,recover,Dictionary A,"{""root"":""ákal"",""processes"":[]}",ákal,-,-,-,-,-,akal
akár,"going, movement; to walk, move (man -, on-); go to (i -)",walk,Dictionary A,"{""root"":""akár"",""processes"":[]}",akár,-,-,-,-,-,akar
paakár,to drive a vehicle (mañgi -),,Dictionary A,"{""root"":""akár"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""""}]}",akár,"{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""""}",nasal_prefix,causative/instrumental nasal-assimilating,-,paN-,paakar
yakár,walk,walk,Dictionary A,"{""root"":""yakár"",""processes"":[]}",yakár,-,-,-,-,-,yakar
pamakarán,intention,intention,Dictionary A,"{""root"":""akarán"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""m""}]}",akarán,"{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""m""}",nasal_prefix,causative/instrumental nasal-assimilating,-,paN-,pamakaran
ákay,"to lead by the hand, guide thus (man -)",guide,Dictionary A,"{""root"":""ákay"",""processes"":[]}",ákay,-,-,-,-,-,akay
akbáb,"to put one’s chin up, incline the head forward",chin up,Dictionary A,"{""root"":""akbáb"",""processes"":[]}",akbáb,-,-,-,-,-,akbab
akbíbit,"have within, carry with one, have with one constantly",carry with one,Dictionary A,"{""root"":""akbíbit"",""processes"":[]}",akbíbit,-,-,-,-,-,akbibit
ákin,why,why,Dictionary A,"{""root"":""ák"",""processes"":[{""type"":""suffix"",""meaning"":""patient/theme focus (completed)"",""form"":""-in"",""normalized_form"":""in""}]}",ák,"{""type"":""suffix"",""meaning"":""patient/theme focus (completed)"",""form"":""-in"",""normalized_form"":""in""}",suffix,patient/theme focus (completed),-,-in,akin
akír,to remove from the fire or stove,remove from fire,Dictionary A,"{""root"":""akír"",""processes"":[]}",akír,-,-,-,-,-,akir
akís,"to cry (on -, man -)",cry,Dictionary A,"{""root"":""akís"",""processes"":[]}",akís,-,-,-,-,-,akis
paakís,to make (someone) cry (man -),make him/her cry,Dictionary A,"{""root"":""akís"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""""}]}",akís,"{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""""}",nasal_prefix,causative/instrumental nasal-assimilating,-,paN-,paakis
akdól,"to sleep with, sleep together (mi -)",sleep together,Dictionary A,"{""root"":""akdól"",""processes"":[]}",akdól,-,-,-,-,-,akdol
ákdot,"remove, pluek out",remove  ,Dictionary A,"{""root"":""ákdot"",""processes"":[]}",ákdot,-,-,-,-,-,akdot
akló,"ladle, esp. paddle or wooden spoon for removing rice from the pot",ladle,Dictionary A,"{""root"":""akló"",""processes"":[]}",akló,-,-,-,-,-,aklo
akmón,to swallow,swallow,Dictionary A,"{""root"":""akmón"",""processes"":[]}",akmón,-,-,-,-,-,akmon
áko,"to accept, receive (on -, maN -)",accept,Dictionary A,"{""root"":""á"",""processes"":[{""type"":""suffix"",""meaning"":""1sg genitive enclitic"",""form"":""-ko"",""normalized_form"":""ko""}]}",á,"{""type"":""suffix"",""meaning"":""1sg genitive enclitic"",""form"":""-ko"",""normalized_form"":""ko""}",suffix,1sg genitive enclitic,-,-ko,ako
akoál,to put on the lap (man -),put on the lap,Dictionary A,"{""root"":""akoál"",""processes"":[]}",akoál,-,-,-,-,-,akoal
akuláw,"old woman, married woman, wife",old woman,Dictionary A,"{""root"":""akuláw"",""processes"":[]}",akuláw,-,-,-,-,-,akulaw
ákop,to get with both hands,get,Dictionary A,"{""root"":""ákop"",""processes"":[]}",ákop,-,-,-,-,-,akop
ákot,wasp,wasp,Dictionary A,"{""root"":""ákot"",""processes"":[]}",ákot,-,-,-,-,-,akot
akséb,"go or come down, descend (on -)",go down,Dictionary A,"{""root"":""akséb"",""processes"":[]}",akséb,-,-,-,-,-,akseb
akséng,acidity,sour,Dictionary A,"{""root"":""akséng"",""processes"":[]}",akséng,-,-,-,-,-,akseng
aksíw,to lift by means of a pole or other instrument,lift,Dictionary A,"{""root"":""aksíw"",""processes"":[]}",aksíw,-,-,-,-,-,aksiw
aksúbi,"accept, admit",admit,Dictionary A,"{""root"":""aksúbi"",""processes"":[]}",aksúbi,-,-,-,-,-,aksubi
alá,get (maN -)‚ take (man -),get,Dictionary A,"{""root"":""alá"",""processes"":[]}",alá,-,-,-,-,-,ala
alaán,source of something,source,Dictionary A,"{""root"":""alaán"",""processes"":[]}",alaán,-,-,-,-,-,alaan
aláal,low tide,low tide,Dictionary A,"{""root"":""aláal"",""processes"":[]}",aláal,-,-,-,-,-,alaal
alabáb,to drink much wine,drink much wine,Dictionary A,"{""root"":""alabáb"",""processes"":[]}",alabáb,-,-,-,-,-,alabab
alábat,barricade put across lower part of doorway or window to keep children from going out,barricade,Dictionary A,"{""root"":""alábat"",""processes"":[]}",alábat,-,-,-,-,-,alabat
onalábat,something to alight on; guide,guide,Dictionary A,"{""root"":""alábat"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating variant)"",""form"":""oN-"",""normalized_form"":""o"",""applied_allomorph"":""n""}]}",alábat,"{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating variant)"",""form"":""oN-"",""normalized_form"":""o"",""applied_allomorph"":""n""}",nasal_prefix,actor focus (nasal-assimilating variant),-,oN-,onalabat
alagár,to wait (man -),wait,Dictionary A,"{""root"":""alagár"",""processes"":[]}",alagár,-,-,-,-,-,alagar
alagéy,to stand (on -),stand,Dictionary A,"{""root"":""alagéy"",""processes"":[]}",alagéy,-,-,-,-,-,alagey
paalagéy,"to erect (building, etc.) (mañgi -)",to erect,Dictionary A,"{""root"":""alagéy"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""""}]}",alagéy,"{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""""}",nasal_prefix,causative/instrumental nasal-assimilating,-,paN-,paalagey
aláhas,jewels,jewels,Dictionary A,"{""root"":""aláhas"",""processes"":[]}",aláhas,-,-,-,-,-,alahas
alainót,to obtain or bring together little by little,obtain,Dictionary A,"{""root"":""alaót"",""processes"":[{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":3}]}",alaót,"{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":3}",infix,completed aspect marker,-,-in-,alainot
álak,liquor,liquor,Dictionary A,"{""root"":""álak"",""processes"":[]}",álak,-,-,-,-,-,alak
alakdán,scorpion,scorpion,Dictionary A,"{""root"":""alakdán"",""processes"":[]}",alakdán,-,-,-,-,-,alakdan
álal,tired,tired,Dictionary A,"{""root"":""álal"",""processes"":[]}",álal,-,-,-,-,-,alal
alamá,small crabs,small crabs,Dictionary A,"{""root"":""alamá"",""processes"":[]}",alamá,-,-,-,-,-,alama
alámbri,wire,wire,Dictionary A,"{""root"":""alámbri"",""processes"":[]}",alámbri,-,-,-,-,-,alambri
álañgálañg,be doubtful,doubtful,Dictionary A,"{""root"":""álañg"",""processes"":[{""type"":""reduplication"",""meaning"":""full reduplication (intensifier/frequentative)"",""form"":""full"",""normalized_form"":""full""}]}",álañg,"{""type"":""reduplication"",""meaning"":""full reduplication (intensifier/frequentative)"",""form"":""full"",""normalized_form"":""full""}",reduplication,full reduplication (intensifier/frequentative),-,full,alangalang
alár,fence; to fence (man -),fence,Dictionary A,"{""root"":""alár"",""processes"":[]}",alár,-,-,-,-,-,alar
alás,at (an hour of the clock),at,Dictionary A,"{""root"":""alás"",""processes"":[]}",alás,-,-,-,-,-,alas
alásir,"to arrange, put in order",arange,Dictionary A,"{""root"":""alásir"",""processes"":[]}",alásir,-,-,-,-,-,alasir
alpít,large basket used for storing salt,large basket used for storing salt,Dictionary A,"{""root"":""alpít"",""processes"":[]}",alpít,-,-,-,-,-,alpit
alawá,stick used for spearing fish or getting fruit from a tree,spear,Dictionary A,"{""root"":""alawá"",""processes"":[]}",alawá,-,-,-,-,-,alawa
áldeg,ardor,ardor,Dictionary A,"{""root"":""áldeg"",""processes"":[]}",áldeg,-,-,-,-,-,aldeg
