word,syllables,meaning,tag,english,filipino
alpaq,al-paq,a kind of vegetable called ampalaya,NOUN,root,ugat
altar,al-tar,altar or house or shrine,NOUN,baldachin,baldachin
alti,al-ti,thunder or a word used in curses,NOUN,damn,mapahamak
dipaningalti,di-pa-nin-gal-ti,to curse,VERB,to,sa
alulud,a-lu-lud,eaves and drain of a roof,NOUN,gutter,gutter
alulud,a-lu-lud,shins,NOUN,shins,shins
meyalulud,me-ya-lu-lud,has a drain,ADJ/ADV,has,may
aluminyu,a-lu-min-yu,aluminum or cheap money,NOUN,cheaply,mura
alun,a-lun,wave,NOUN,wave,alon
alunqalun,a-lun-qa-lun,immersed in a wave,ADJ/ADV,bath,paliguan
miyayalu,mi-ya-ya-lu,immersed in a wave,ADJ/ADV,bath,paliguan
alus,a-lus,nearly almost,PROJ,nearly,halos
alwagi,al-wa-gi,carpenter,NOUN,carpenter,karpintero
aluwagi,a-lu-wa-gi,carpenter,NOUN,carpenter,karpintero
alwagialuwagi,al-wa-gi-a-lu-wa-gi,carpenter,NOUN,carpenter,karpintero
ama,a-ma,pleasing,ADJ/ADV,pleasing,nakalulugod
makayama,ma-ka-ya-ma,able to please,ADJ/ADV,able,nagagawa
amad,a-mad,cartilage or a selfish person,NOUN,egoist,egoist
mayamad,ma-ya-mad,selfish,ADJ/ADV,selfish,makasarili
amanu,a-ma-nu,word or language or speech,NOUN,metaphor,metaphor
ambag,am-bag,contribution,NOUN,contribution,kontribusyon
pekaambag,pe-ka-am-bag,contribution,NOUN,contribution,kontribusyon
panambag,pa-nam-bag,to contribute,VERB,to,sa
manambag,ma-nam-bag,to contribute,VERB,to,sa
ambuq,am-buq,nickname for Pablo,NOUN,nickname,palayaw
ambun,am-bun,dew,NOUN,dew,dew
mamambun,ma-mam-bun,about to,VERB,about,tungkol sa
miyambu,mi-yam-bu,with,ADJ/ADV,with,kasama
mayambun,ma-yam-bun,with,ADJ/ADV,with,kasama
andam,an-dam,borrow,VERB,borrow,humiram
manamdam,ma-nam-dam,borrow,VERB,borrow,humiram
mangayamdam,man-ga-yam-dam,borrow,VERB,borrow,humiram
pakiyamdam,pa-ki-yam-dam,borrow,VERB,borrow,humiram
makiyamdam,ma-ki-yam-dam,borrow,VERB,borrow,humiram
makayamdam,ma-ka-yam-dam,borrow,VERB,borrow,humiram
ayamdam,a-yam-dam,borrow,VERB,borrow,humiram
amiyam,a-mi-yam,winter or the cold season,NOUN,winters,winters
ampil,am-pil,join,VERB,join,sumali
manampil,ma-nam-pil,join,VERB,join,sumali
mangayampil,man-ga-yam-pil,join,VERB,join,sumali
payampil,pa-yam-pil,join,VERB,join,sumali
ampilan,am-pi-lan,join,VERB,join,sumali
mayampil,ma-yam-pil,adjoined,ADJ/ADV,adjoined,magkadugtong
amuk,a-muk,mosquito,NOUN,mosquito,lamok
amukan,a-mu-kan,bitten by mosquitoes,VERB,bitten,makagat
mayamuk,ma-ya-muk,full of mosquitoes,ADJ/ADV,full,puno
amurikut,a-mu-ri-kut,a kind of grass or weed,NOUN,darnel,darnel
anak,a-nak,child,NOUN,child,bata
manganak,man-ga-nak,give birth,VERB,give,bigyan
makaanak,ma-ka-a-nak,give birth,VERB,give,bigyan
kasinganak,ka-sin-ga-nak,same age,ADJ/ADV,same,parehas
anatis,a-na-tis,sweetsop or a kind of fruit called atis,NOUN,squash,kalabasa
anam,a-nam,six,NUM,six,anim
ana,a-na,Ana,NOUN,ana,ana
andas,an-das,serrated edges,NOUN,serrated,serrated
ane,a-ne,termite,NOUN,termite,termite
ane,a-ne,of,ADJ/ADV,of,ng
anidyu,a-nid-yu,honeydew melon,NOUN,honeydew,honeydew
animal,a-ni-mal,animal,NOUN,animal,hayop
ante,an-te,where,PROJ,hence,samakatuwid
anta,an-ta,where,PROJ,hence,samakatuwid
anteanta,an-te-an-ta,where,PROJ,hence,samakatuwid
anti,an-ti,like compared to,PROJ,like,tulad ng
antak,an-tak,female sexual organs,NOUN,female,babae
antaknedamu,an-tak-ne-da-mu,female sexual organs,NOUN,female,babae
mayantak,ma-yan-tak,sexually appealing or sexy,ADJ/ADV,luscious,malungkot
antinganting,an-tin-gan-ting,talisman,NOUN,talisman,talisman
magantinganting,ma-gan-tin-gan-ting,use talisman,VERB,use,gumamit
anyaq,an-yaq,later and then so,SCONJ,yet,pa
angga,ang-ga,up to or until,ADP,even,kahit na
angganan,ang-ga-nan,boundary,NOUN,boundary,hangganan
manangga,ma-nang-ga,reach as far as or journey to,VERB,overreach,overreach
anggiq,ang-giq,mist or spray or blowing rain,NOUN,scud,scud
mamanggiq,ma-mang-giq,raining and blowing,VERB,raining,umuulan
angin,an-gin,wind,NOUN,wind,hangin
mamangin,ma-man-gin,the wind is blowing,VERB,windy,mahangin
inangin,i-nan-gin,held in the wind,VERB,pipe,pipe
mayangin,ma-yan-gin,windy,ADJ/ADV,windy,mahangin
meyango,me-yan-go,derived,ADJ/ADV,derived,nagmula
anyaya,an-ya-ya,invite,VERB,invite,anyayahan
anyahan,an-ya-han,invitation,NOUN,invitation,imbitasyon
anyayaq,an-ya-yaq,inflamed,VERB,inflamed,inflamed
anyeho,an-ye-ho,rum,NOUN,rum,rum
apa,a-pa,cone crust,NOUN,cone,kono
apa,a-pa,bran,NOUN,bran,bran
apalit,a-pa-lit,narra,NOUN,narra,narra
apalyaq,a-pal-yaq,bitter gourd,NOUN,bitter,mapait
apan,a-pan,bait,NOUN,bait,pain
apanan,a-pa-nan,bait something,VERB,bait,pain
manapan,ma-na-pan,put out bait,VERB,put,ilagay
maipanapan,ma-i-pa-na-pan,bait each other,VERB,bait,pain
apat,a-pat,four,NUM,four,apat
pangapat,pan-ga-pat,fourth,NUM,fourth,pang -apat
magapatabanwa,ma-ga-pa-ta-ban-wa,spend four years,NUM,spend,gumastos
apendisitis,a-pen-di-si-tis,appendicitis,NOUN,appendicitis,apendisitis
meqapendisitis,me-qa-pen-di-si-tis,suffered from appendicitis,ADJ/ADV,suffered,nagdusa
apiq,a-piq,limestone,NOUN,limestone,limestone
apiq,a-piq,fire or flame or spark,NOUN,kindle,kindle
mamapiq,ma-ma-piq,sparking or on fire,VERB,ignition,ignition
aplaya,ap-la-ya,beach,NOUN,beach,beach
apon,a-pon,japanese or japan,NOUN,japanese,hapon
apun,a-pun,japanese or japan,NOUN,japanese,hapon
apqap,ap-qap,a kind of fish expensive and considered quite a delicacy,NOUN,caviar,caviar
apu,a-pu,grandparent,NOUN,grandparent,lolo't lola
apu,a-pu,grandchild,NOUN,grandchild,apo
apuluq,a-pu-luq,ten,NUM,ten,sampu
apunan,a-pu-nan,supper,NOUN,supper,hapunan
mamapun,ma-ma-pun,eat supper,VERB,eat,kumain
makaapun,ma-ka-a-pun,able to eat supper,VERB,dine,dine
payapun,pa-ya-pun,serve supper,VERB,serve,maglingkod
apus,a-pus,imitation or similarity,NOUN/VERB/STAT,imitation,imitasyon
magaral,ma-ga-ral,study or go to school,VERB,scoley,scoley
papagaral,pa-pa-ga-ral,be sent to school,VERB,report,ulat
pagaralan,pa-ga-ra-lan,lesson,NOUN,lesson,aralin
arap,a-rap,front,NOUN,front,harapan
arapan,a-ra-pan,front,NOUN,front,harapan
miaraparap,mi-a-ra-pa-rap,be situated in front,ADJ/ADV,forward,pasulong
are,a-re,hay,NOUN,hay,hay
argabyadu,ar-gab-ya-du,aggravated,ADJ/ADV,aggravated,pinalubha
ari,a-ri,finished,ADJ/ADV,finished,tapos na
yari,ya-ri,finished,ADJ/ADV,finished,tapos na
yariq,ya-riq,finished,ADJ/ADV,finished,tapos na
mayari,ma-ya-ri,finished,ADJ/ADV,finished,tapos na
arian,a-ri-an,finish something,VERB,finish,tapusin
manariq,ma-na-riq,something happened,VERB,something,isang bagay
ari,a-ri,king,NOUN,king,hari
ariq,a-riq,king,NOUN,king,hari
arina,a-ri-na,flour,NOUN,flour,harina
arinola,a-ri-no-la,chamberpot,NOUN,chamberpot,chamberpot
ariya,a-ri-ya,things customarily disapproved or statements of customary disapproval,NOUN,variance,pagkakaiba -iba
arihiya,a-ri-hi-ya,things customarily disapproved or statements of customary disapproval,NOUN,variance,pagkakaiba -iba
arkila,ar-ki-la,hire something or rent something,VERB,charter,charter
arnis,ar-nis,a selfdefense sport,NOUN,a,a
arsobispo,ar-so-bis-po,archbishop,NOUN,archbishop,arsobispo
aru,a-ru,wow,INTJ,wow,wow
arung,a-rung,nose,NOUN,nose,ilong
inarungan,i-na-run-gan,put on airs,VERB,put,ilagay
asag,a-sag,mantle of a pressure lantern,NOUN,incidence,pagkakataon
asan,a-san,fish,NOUN,fish,isda
asan,a-san,viand,NOUN,viand,viand
asang,a-sang,gills,NOUN,gills,gills
asaan,a-sa-an,put hope in someone,VERB,repose,repose
asawa,a-sa-wa,spouse,NOUN,spouse,asawa
talaasawa,ta-la-a-sa-wa,a married person,NOUN,a,a
magasawa,ma-ga-sa-wa,get married,VERB,get,kumuha
mangasawa,man-ga-sa-wa,arrange marriage,VERB,arrange,ayusin
pakiasawa,pa-ki-a-sa-wa,have someone married to someone else,VERB,bachelor,bachelor
pangasawan,pan-ga-sa-wan,rape someone,VERB,rape,rape
miasawa,mi-a-sa-wa,be married,VERB,be,maging
asbuk,as-buk,mouth,NOUN,mouth,bibig
labanasbuk,la-ba-nas-buk,argue,VERB,argue,magtaltalan
manasik,ma-na-sik,farm,VERB,farm,bukid
askian,as-ki-an,rice fields,NOUN,rice,bigas
manasik,ma-na-sik,rice farmer,NOUN,rice,bigas
asin,a-sin,salt,NOUN,salt,asin
asinan,a-si-nan,to salt something,VERB,to,sa
apayasin,a-pa-ya-sin,unintentionally salted,VERB,unintentionally,hindi sinasadya
asintado,a-sin-ta-do,clever or accurate,ADJ/ADV,clever,matalino
aslag,as-lag,light from a heavenly body,NOUN,luminary,maliwanag
aslagan,as-la-gan,where the sun rises or east,NOUN,sunrise,pagsikat ng araw
aslam,as-lam,vinegar,NOUN,vinegar,suka
maslam,mas-lam,sour,ADJ/ADV,sour,maasim
aslaman,as-la-man,add vinegar,VERB,add,idagdag
panaslam,pa-nas-lam,use something to sour,VERB,soured,soured
miyaslat,mi-yas-lat,caught in broken floor board,ADJ/ADV,floorboard,floorboard
aspak,as-pak,crack,NOUN,crack,basag
mayayaspak,ma-ya-yas-pak,cracked,STAT,cracked,basag
astaka,as-ta-ka,stake,NOUN,stake,stake
manastaka,ma-nas-ta-ka,place stakes,VERB,place,lugar
astakan,as-ta-kan,bound with stakes,VERB,bound,bound
asu,a-su,dog,NOUN,dog,aso
maasu,ma-a-su,many dogs,ADJ/ADV,many,marami
asuk,a-suk,smoke,NOUN,smoke,usok
asul,a-sul,blue,NOUN,blue,asul
maasul,ma-a-sul,dark blue,ADJ/ADV,dark,madilim
maasulasul,ma-a-su-la-sul,light blue,ADJ/ADV,light,magaan
makaasul,ma-ka-a-sul,wearing clothes,ADJ/ADV,wearing,nakasuot
asung,a-sung,mortar,NOUN,mortar,mortar
aswe,as-we,comb,NOUN,comb,suklay
aswe,as-we,harrow,NOUN,harrow,harrow
manaswe,ma-nas-we,use a harrow,VERB,use,gumamit
aswen,as-wen,comb,VERB,comb,suklay
payaswe,pa-yas-we,have hair combed by another,VERB,parting,paghiwalay
asyag,as-yag,stye,NOUN,stye,stye
asyas,as-yas,post,NOUN,post,mag -post
pekaasyas,pe-ka-as-yas,mainstay,NOUN,mainstay,mainstay
at,at,and or that,CCONJ,synonym,kasingkahulugan
atab,a-tab,tide,NOUN,tide,tide
atad,a-tad,escort away from home to another place,VERB,move,ilipat
pamatadoras,pa-ma-ta-do-ras,pastime,NOUN,pastime,pastime
atake,a-ta-ke,attack or heartattack or stroke,NOUN,ictus,ictus
meatake,me-a-ta-ke,victimized by stroke,ADJ/ADV,victimized,nabiktima
atbu,at-bu,sugarcane,NOUN,sugarcane,sugarcane
atduq,at-duq,bile,NOUN,bile,apdo
ate,a-te,liver,NOUN,liver,atay
ati,a-ti,there is or there are or be,INTJ,account,account
atin,a-tin,there is or there are or be,INTJ,account,account
kayatinan,ka-ya-ti-nan,wealth,NOUN,wealth,kayamanan
mikayatin,mi-ka-ya-tin,be wealthy,ADJ/ADV,be,maging
atik,a-tik,money or wealth,NOUN,money,pera
atlu,at-lu,three,NUM,three,tatlo
pangatlu,pan-gat-lu,third,NUM,third,pangatlo
makatatlu,ma-ka-tat-lu,third time,NUM,third,pangatlo
titlutitlu,tit-lu-tit-lu,three by three,NUM,three,tatlo
atlung ari,at-lung- a-ri,feast of three kings,NUM,magi,magi
atlung ari,at-lung- a-ri,a constellation,NUM,a,a
matni,mat-ni,loud,ADJ/ADV,loud,malakas
matnibuntuk,mat-ni-bun-tuk,intelligent,ADJ/ADV,intelligent,marunong
acata,a-ca-ta,a large bedpan,NOUN,a,a
atcan,at-can,stomach,NOUN,stomach,tiyan
atcanan,at-ca-nan,hit someone in stomach,VERB,catch,makibalita
atcaq,at-caq,throw,VERB,throw,itapon
itca,it-ca,threw,VERB,threw,itinapon
atcanan,at-ca-nan,throw something,VERB,throw,itapon
pamanatcaq,pa-ma-nat-caq,pitching style,NOUN,pitching,pitching
piyatcanan,pi-yat-ca-nan,place something was thrown,NOUN,cast,cast
atcara,at-ca-ra,pickled salad,NOUN,pickled,adobo
atcing,at-cing,sneeze,NOUN,sneeze,sneeze
mamatcing,ma-mat-cing,sneezing,VERB,sneezing,sneezing
atras,at-ras,to the back or rear or retrogress,VERB,reverse,reverse
atrasu,at-ra-su,omission or failure,NOUN,omission,omission
atrasadu,at-ra-sa-du,late,ADJ/ADV,late,huli
atsaka,at-sa-ka,and also,CCONJ,and,at
atcaka,at-ca-ka,and also,CCONJ,and,at
atsaka na,at-sa-ka -na,later,CCONJ,later,kalaunan
atcaka na,at-ca-ka -na,later,CCONJ,later,kalaunan
atsi,at-si,older sister,NOUN,older,mas matanda
atul,a-tul,decision,NOUN,decision,desisyon
atup,a-tup,peak of a roof,NOUN,rooftree,rooftree
atap,a-tap,peak of a roof,NOUN,rooftree,rooftree
ayatapan,a-ya-ta-pan,to put on a roof,VERB,house,bahay
atut,a-tut,flatulence,NOUN,flatulence,flatulence
atutan,a-tu-tan,affect another with flatuence,VERB,paragenesis,paragenesis
atyesa,at-ye-sa,a kind of fruit,NOUN,grape,ubas
atcesa,at-ce-sa,a kind of fruit,NOUN,grape,ubas
awlan,aw-lan,guess something,VERB,guess,hulaan
aul,a-ul,portion or share,NOUN,portion,bahagi
aus,a-us,call or someone,VERB,call,tumawag
awsan,aw-san,call someone,VERB,call,tumawag
awak,a-wak,crow or hawk,NOUN,crow,uwak
awakan,a-wa-kan,waist,NOUN,waist,baywang
awad,a-wad,ask for,VERB,ask,tanungin
yawad,ya-wad,ask for,VERB,ask,tanungin
yawad,ya-wad,pamanyawad piyawaran,NOUN,pamanyawad,pamanyanwad
awang,a-wang,window,NOUN,window,window
awe,a-we,a kind of rattan,NOUN,malacca,malacca
ayri,ay-ri,air,NOUN,air,hangin
deayri,de-ay-ri,works by means of air,ADJ/ADV,blow,pumutok
ayun,a-yun,agree with or go along with,VERB,jump,tumalon
ayun,a-yun,earthquake,NOUN,earthquake,lindol
mamayun,ma-ma-yun,eatrth is quaking,VERB,eatrth,kumakain
ayup,a-yup,bird,NOUN,bird,ibon
ayupayupan,a-yu-pa-yu-pan,insect,NOUN,insect,insekto
aywe,ay-we,highway,NOUN,highway,highway
babagwaq,ba-bag-waq,spider,NOUN,spider,spider
babaq,ba-baq,chin,NOUN,chin,chin
babaq,ba-baq,low place,NOUN,low,mababa
bebaq,be-baq,lower or put down or disclose or set forth,VERB,lay,humiga
ibabaq,i-ba-baq,lower something,VERB,lower,mas mababa
magbaba,mag-ba-ba,go down,VERB,go,pumunta ka na
pababan,pa-ba-ban,have something brought,VERB,have,mayroon
babai,ba-ba-i,woman,NOUN,woman,babae
binabai,bi-na-ba-i,common law wife,NOUN,common,karaniwan
binabai,bi-na-ba-i,girlhood,NOUN,girlhood,babae
mambabai,mam-ba-ba-i,pursuing women,VERB,pursuing,hinahabol
magbabai,mag-ba-ba-i,pursuing women,VERB,pursuing,hinahabol
babiq,ba-biq,pig,NOUN,pig,baboy
babing dikut,ba-bing -di-kut,wild pig,NOUN,wild,ligaw
binabiq,bi-na-biq,careless,ADJ/ADV,careless,walang ingat
magbinabiq,mag-bi-na-biq,be careless or act like a pig,VERB,oig,oig
bablas,bab-las,get dressed,VERB,get,kumuha
mibablas,mi-bab-las,be dressed,VERB,be,maging
pibablasan,pi-bab-la-san,dress someone else,VERB,dress,magbihis
babo,ba-bo,up or upstairs or above,NOUN/ADP,aloft,aloft
magpababo,mag-pa-ba-bo,go up,VERB,go,pumunta ka na
papababo,pa-pa-ba-bo,put something on top,VERB,stack,stack
makapagpababo,ma-ka-pag-pa-ba-bo,able to go on top,VERB,can,maaari
mababo,ma-ba-bo,on top or above,ADJ/ADV,aloft,aloft
makababo,ma-ka-ba-bo,leading,ADJ/ADV,leading,nangunguna
mababopaliq,ma-ba-bo-pa-liq,easily angered,ADJ/ADV,easily,madali
babuq,ba-buq,you might fall,VERB,you,ikaw
bakal,ba-kal,iron,NOUN,iron,bakal
bakal,ba-kal,packed lunch or food carried along when on a trip,NOUN,bait,pain
magbakal,mag-ba-kal,carry ones lunch,VERB,carry,dalhin
abakalan,a-ba-ka-lan,able to carry something,VERB,accept,tanggapin
bakan,ba-kan,unoccupied,ADJ/ADV,unoccupied,walang tirahan
bakante,ba-kan-te,unoccupied,ADJ/ADV,unoccupied,walang tirahan
bakas,ba-kas,mark or sign or indication,NOUN,evidence,katibayan
babakas,ba-ba-kas,make marks,VERB,make,gumawa
