,part_of_speech,meaning_english,meaning_filipino,sample_bolinao,sample_english,upos,word
abaka,n,"Abaca, a bananaplantthat grows in wet areas andits hard fiberis known as Manila hemp which is used for rope and various kinds of paper.",Abaka.,Binyan nako ni Neri nin tsinilas nin abaka sin ibat ya sa Bicol.,Neri gave me a pair of slippers made of abaca when she returned from Bicol.,NOUN,
abakada,n,The former romanized order of the alphabet for Tagalog.,Abakada.,"Si sayay mag'adal nin mamasa, adalen na yapo' nin mu'na aabakada.",The one who learning how to read is to first learn thealphabet.,NOUN,
abako,n,Abacus.,Abako.,Kwintawen saabakota pigaw nin madali' mamilang.,Calculate it with anabacusso that the counting will be fast.,NOUN,
abalayan,n,"The relationship of theparents of the bride and groomto each other, it includes the parent's siblings.",Balae.,Abalayannaya si Marco ni Roger.,Marco is the co-parent-in-law of Roger.,NOUN,
abalayanen,vo,To be made co-parents.,Maging balae.,Saray matua nan kakasal ko li' a abalayanen ran matua ko.,The parents of the one I will marry will be made the co-parents of my parents.,VERB,
abaluryo,n,Glass beads or bead work.,Abaloryo; manik.,Si hanbag na ni inay ket naarkusan yanabaluryo.,My mother's handbag is decorated with glass beads.,NOUN,
abang,n,"Interest earned on a bank deposit, or interest paid on a loan.",Interes.,Mabli a abang nin bali sa babali.,The rent of houses in the town is high.,NOUN,
abangan,vl,To pay the interest on a loan.,Tubuan.,Abangan koya pa a DVD ninThe Gods Must Be Crazy.,"I would like to rent the DVD, The Gods Must Be Crazy.",VERB,
abangat,n,A large fly.,Palangat; langaw; bangaw.,Ilagen mosarayapangatnin dumpa' sa kanen moyo ta abaw a awit ra sa ayi nin mikrubyo.,Beware of bigfliesthat land on your food because they carry germs on their feet.,NOUN,
abaniko,n,A native hand fan made of woven leaves.,Abaniko.,"Si balasang, awit nayayabanikono mako sa bayli.",The lady brings herfanwhen she goes to a dance.,NOUN,
abano,n,A factory rolled cigar used by old men.,Abano.,Si Prisidinti mampanabako yanabano.,The President is smoking a rolledcigar.,NOUN,
abanti,inf,A command to go ahead or move forward.,Abante.,Abanti ana in sayparid.,Start the parade now advancing.,VERB,
abara',adj,"An interruption, deviation or delay taking up time or the use of something from the primary participant or focus.",Abala.,Abara' sa trabaho a tiks anan tiks.,Repeated texting is a disruption from one's work.,ADJ,
abaraen,vo,For someone tointerruptan activity or a person thus causing a delay.,Abalahin.,Andi' nako abaraen sa pako ko sa trabaho.,Don't delay me from going to work.,VERB,
abas,adj,"Wrong, not what it should be according to a standard.",Masama.,"Sin imbatan koyay tepet wanan maistro ko, ""Abaska.""","When I answered the question my teacher said, ""You'rewrong.""",ADJ,
abasen,vo,For someone to purposelymake something wrong.,Maliin.,Abasenmay ubat mo.,Purposely make your answerwrong.,VERB,
abasto,n,Sufficient supplyof foodstuff and other things to live on for a period of time.,"Sapat.; abasto,pagkain o pera para sa araw-araw.",Main anan abasto min uring no tyimpon rapeg.,We already have enough supply of charcoal for the rainy season.,NOUN,
abastwan,vl,To supply a food item for use for a period of time.,Padalhan.,Abastwanrayan kuna' a anak ra.,Theysupplytheir offspring with fish for subsistence.,VERB,
abastwen,vo,For someone tohave subsistedon a certain food item for a period of time.,Imbakin.,Abastwen moyna a sardinas leleg nin bagyo.,You just subsist on sardines while the typhoon lasts.,VERB,
abaw,n,Massive or an unnumbered quantity.,Marami.,Pirmi akon nikiaway tanabawet nin kalukwan a ginwa' ko.,I always fought andthere were manymore crazy things that I did.,NOUN,
abawan,vl,"To do in large quantities, possibly countable, such as the sale or purchase of large quantities of goods at one time.",Pakyawan; maramihan.,Abawan a paglako' nan mangga na ni Mariano.,Mariano sells his mangoes in bulk.,VERB,
abawen,vo,To increase the amount of something and make it abundant or productive.,Damihan.,Abawen moy dawaten mon kwartan tulong konran biktima nin bagyo.,Increase your request for financial help for the typhoon victims.,VERB,
abay,n,The area beside a person or thing.,Tabi.,Ika' nin daluyon sa abay a sarbaynan yabat.,All kinds of rubbish is carried by the waves to the shore.,NOUN,
abaya,n,Shoulder.,Balikat.,Nablo' yay abaya na nin anak sin nanabo' ya sa mangga.,The child's shoulder was fractured when he fell from a mango tree.,NOUN,
abayan,vl,To stay close by someone to serve as a support.,Bantayan; gabayan.,Sa Guiguiwanen a abayan ran mangunguna' no main maksaw nin bagyo.,It is in Guiguiwanen that fishermen anchor when there is a strong storm.,VERB,
abbayinti,adj,Twenty each.,Tagbebente.,Abbayinti a sayay kilo nin kamatis.,It is twenty for each kilo of tomatoes.,ADJ,
abel,n,An unsewn piece of cloth.,Tela.,Umnoy sayay yarda nan sitinabel?,How much is one yard of thiscloth?,NOUN,
abelen,vo,To weave things such as thread into cloth.,Habihin.,Kai magawa' nin abelen a kapas nin kapok ta para tamo' sa alunan tan tekrean.,The cotton taken out from the cotton wood cannot be woven but it is only used for pillows and seats.,VERB,
abet'abet,n,To wail or lament.,Tumangis,Marnge' aabet'abetna sa kapitangan nin yabi.,Hislamentationcould be heard in the middle of the night.,NOUN,
abet'abetan,vl,To lament or wail over someone or something as an expression of grief.,Tangisan.,Main tutawon kai rasara abet'abetan a nati ra.,There are people that don't weep over their dead.,VERB,
abidad,n prop,"Christmas. The day, December 25, when Christians celebrate the birth of Jesus the Messiah.",Pasko.,"No Abidad, mako saray a'nak konran inay tan amay ra kidawat nin aginaldo ra.",On Christmas children go to their godmothers and godfathers to ask for their Christmas gifts.,PROPN,
abig,n,Goodness. The quality of goodness.,Buti.,Aninay abig no tulungan nakon mangluto' nin pangawrwan tamo.,How good it would be if you help me cook our lunch.,NOUN,
abilidad,n,An unusual ability to produce extraordinary results such as by magic or supernatural means.,Galing.,Main ninabilidadna ni Edmarie nin manurat nin kwinto.,Edmarie has thetalentto write stories.,NOUN,
abing,n,"An infant, a very young child of less than a few months.",Sanggol.,Makapaririket saray abing.,Babies bring joy.,NOUN,
abir,advlizer,"Emphasis of the degree and full comparison of something that is on the same level, unvarying from or equal to a standard.",Maski.,Ma'mot lamang a kaingaran abir nin kayadi' rapeg.,It nevertheless feels hot even though it has just rained.,PART,
abirat,n,"A kinship term denoting the relation between persons who are married to two brothers or sisters, or brother and sister or cousins.",Bilas.,Si Nolan ket abirat naya a busat nan si Arleen ta mibsat saray asawa ra.,Arleen is Nolan's sister-in-law for their spouses are siblings.,NOUN,
abirno,advlizer,"Regardless, this marks a subordinate clause of unusual or emphatic contrast indicating that this particular fact does not make the rest of the statement untrue.",Kahit na.,Matkap aabirnonin pa'no ket makapag'ubra ako.,"Regardlessof what it takes, I have to have work.",PART,
abiso,n,"Notice, notification, forewarning.",Abiso; babala.,Main ninabisona ni Miyor konran maglalako' sa palingki.,The mayor has anoticefor the market vendors.,NOUN,
abisuwan,vl,To notify someone.,Abisuhan.,Abisuwanmosara yapo' a matua mo ba'yo ka makodtaw.,Notifyyour parents first before you go there.,VERB,
abito,n,A priest's habit.,Abito.,Kasabyan a no magmisa sara tana misulot nin abito a pupadi' sawanin.,"Usually, it is just when they say the mass that a priest wears a habit nowadays.",NOUN,
ableng,n,Quail.,Pugo.,Madidintek tan datek-datek a salay nin ableng.,Quaileggs are spotted and tiny.,NOUN,
abo,n,Rice bran or the fine dust and husks of milling dried grains.,Darak.,Ipamakan nin baka a abo no kwarisma.,Rice bran is used to feed cattle during hot season.,NOUN,
abong,n,A temporary covering such as for a motorcycle or for shade in a work area.,Habong.,Kasan abong nan mutor kanya' nin narapeg saray pasairo na.,There was no covering for the motorcycle/boat so the passengers got rained on.,NOUN,
abot,n,A claim or right to something.,Habol.,Ayupa' a abot na ni Eddie konan lako' kon luta'.,Eddie offered low on my sale of land.,NOUN,
abrac,n prop,Old name for the baranggay in the western part of Bolinao where the British built a big light house on a hill overlooking the sea during ancient times.,Pangalan ng lugar.,"SiAbrac,itya sa ata'gay a lugar.",Abracis located in a high place.,PROPN,
abrasa,n,Greetings as in giving a welcome to visitors.,Malugod na pagtanggap.,Niparate' na ni Miyor a ma'mot nin abrasa konran bubisitas.,The Mayor extended a warm welcome to the visitors.,NOUN,
abrasawen,vo,"To extend a gesture or words of welcome to a person, especially a visitor.",Salubungin.,Gawa' na sa prugrama nin prinsipal a mangabrasa konran bubisita.,The responsibility of the principal in the program is to welcome the visitors.,VERB,
abrasyiti,adj,One person's arm is hooked into another person's arm.,Abresyete; abrasete; abrasyete.,Mairot a abrasyiti ran manlumalakon mitraasawa.,The couple walking along has a tight grasp on each others arms.,ADJ,
abri,inf,To open something to view and use.,Bukas.,Andi' nin abri anan abri konan ripridyiritor.,Don't keep opening the refrigerator.,VERB,
abridor,n,A bottle or can opener.,Abridor.,Mataey tan kamol yayna a abridor.,The can opener is now dull and rusty.,NOUN,
abrigo,n,"Shawl, a lady's wrap overcoat.",Balabal; abrigo; kapa.,Mangusar kan abrigo no maray'ep a panaon.,Use a shawl when it is cold season.,NOUN,
abrigwar,inf,To bring out into the open something that should have been left in the past.,Ungkat; halukay.,"Bana' sa abrigwar nin ginwa' mo, sinmakit a nakem na komo.","By your bringing that out into the open, he came to have hard feelings against you.",VERB,
abrigwaren,vo,"To bring out into the open something that should have been left in the past, such as a wrong, to expose.",Lantaran.,,,VERB,
abril,n prop,The month of April.,Abril.,Kasabyan nin sa bulan nin Abril a pistan babalin Bolinao.,It is usually in the month of April that Bolinao's town fiesta  is held.,PROPN,
abrod,n,"To be out of the country, usually for work or vacation.",Ibang bansa.,Itaw ya sa abrod.,He is overseas.,NOUN,
abryan,vl,To make something accessible or available.,Buksan.,Abryan may purta ta main nin mantumuktok.,Open the door because someone is knocking.,VERB,
absint,adj,Absent.,Liban.,Absint ya sa klasi si Petra ta man'ipiikap nayay ari na.,Petra is absent from the class because she is babysitting her younger sibling.,ADJ,
abswilto,n,Declaring a person charged in court as not guilty.,Abswelto; mapawalang sala.,Abswilto a disisyon nin kurti sa dimanda kuntra kona ni Pablo.,Not guilty was the verdict of the court on the lawsuit against Pablo.,NOUN,
abugado,n,An attorneyor lawyer.,Abogado.,Impurtanti nin main yay abugado no bista nin kaso.,It is important that there is a lawyer when there is a hearing of a court case.,NOUN,
abukado,n,Avocado or alligator pear.,Abokado.,Paburito kon prutas a abukado.,Avocado is my favorite fruit.,NOUN,
abuloy,n,Financial assistance specifically given to the survivors of a deceased person.,Abuloy.,Naitabon ya si Vidal yupa' sa abuloy ran kukanayon tan kabaraybay na.,Vidal's internment was made possible through the contributions from her relatives and neighbors.,NOUN,
abuna,n,Payment of an obligation in place of the one obligated.,Paluwal.,Nami ya si Edgar nin kwartan tulong na para sa abuna konran kai ana nin nasingir sa bayad nin kanen baboy.,Edgar gave financial aid for the payment to be made in lieu of those who failed to pay for hog feeds they took.,NOUN,
abunado,adj,One constrained to pay out money for something for another person.,Nagpaluwal; abonado.,,,ADJ,
abunawan,vl,To pay a debt for someone expecting him to pay back later.,Abunuhan; abonado.,Abunawanko yapo' a matrikula mo tan gumayad ka li' kongko.,I will pay for your matriculation fee and you will pay me back later.,VERB,
abung-abong,n,"A temporary shelter or tent usually held up by poles, to protect one from the sun, rain and other elements.",Habong.,Mangwa' saran abung-abong nin salimbeng ra sa amot no awro.,They will make a makeshift shed as a covering from the heat of the day.,NOUN,
abuno,n,Fertilizer for enriching the soil nutrients for the plants.,Abono; pataba.,Ambo' nin uso a mangusar nin abuno sin nu'na.,Using fertilizer was not a practice in early times.,NOUN,
abunsyang,n,"Ashes from thoroughly burning something, especially from a stove.",Abo.,Galaten moyabunsyangsa suyang.,Remove theashesfrom the stove.,NOUN,
aburido,adj,To be worried.,Balisa.,Ketaburidosara anan tuloy sa panningkap komo.,They were veryworriedin their search for you.,ADJ,
aburoy,n,Consent or permission given by someone in authority for doing something.,Pahintulot.,Mami akon aburoy nin main nin raruman tawo nin manago' sa bubon mi.,I am giving permission to some other people to draw water from our well.,NOUN,
aburuyan,vl,To allow or give authority to someone for something.,Pahintulutan.,Mag'uray ya a Dios konan sayay tawo no aburuyan naya.,God rules in a person if he allows Him to.,VERB,
abusado,adj,"For a person to be abusive, unrestrained by accepted procedures or advice and takes advantage of a situation.",Abusado/a.,Abusadayan talaga in a babayi; kai ya gapo paakay sa taman si'no.,She is really anabusivewoman; she doesn't give heed to anyone.,ADJ,
abuso,n,An act that goes beyond limitations or bounds.,Pagmamalabis.,Abuso sa pangungusar nin bubagay a puon nin madali' nin masida'.,Abuse in the use of things is the cause for the quick destruction of them.,NOUN,
abuswen,vo,To abuse or misuse something.,Abusuhin.,Andi' mo nin abusuwen a lalaman mo; mangan tan painawa kan masadag.,Do not abuse your body; eat and rest enough.,VERB,
abuten,vo,To reach out to someone with understanding.,Unawain.,Abutenma in pa si hanger ta kai koya maagwang.,Pleasereachfor the clothes hanger for I cannot reach it.,VERB,
abyo,n,"Sustenance, foodstuff.;Support, usually in the form of food sent to someone far away.",Pagkain; abasto; apoyo.,Kasan abawnin abyomi ta kasan kwarta mi.,We don't have muchfoodstuffbecause we don't have money.,NOUN,
adado,n,"A plow, a farm implement used to turn over the soil.",Araro.,Mailag ya si tatay ko konan adado na.,My father was protective of his plow.,NOUN,
adadwen,vo,To till the soil with a plow.,Araruhin,Mainum'ay nin adadwen a luta' no narapeg ana ta malumo ana.,It is easy to plow after a rain since the ground is soft.,VERB,
adahyo,n,Superstitious beliefs or practices.,Pamahiin; anito.,"Si tawon mainadahyo,kasan pagmamatalek na konan Catawan.",A person who issuperstitionsdoesn't trust God.,NOUN,
adak'ak,n,A loud and spontaneous laugh.,Halakhak.,Narnge' ran kabaraybay a adak'ak na ni Malou.,The neighbors heard Malou's boisterous laugh.,NOUN,
adak'akan,vl,To laugh boisterously or loudly at someone or something.,Tawanan; halakhakan.,Mading'eyan ya no adak'akan yay sayay tawon naabas.,A person who committed a mistake will be embarrassed when he is laughed at boisterously.,VERB,
adal,n,A lesson to be learned.,Aral.,Ayupa' aadalran mangatua na ni Silo ta matalag et a iskilawan sin saytaw.,Silo's parents have littleeducationsince schools were scarce back then.,NOUN,
adalan,vl,Disciple or student.,Tagasunod.,Adalan yan pabindisyon a sayay anak mintras nin daite' ya et.,Instill in a child social graces while he is yet little.,VERB,
adalen,vo,A lesson or something to study.,Aralin.,Adalen moyoy pigagawa' ran raruma.,Study the conduct of others.,VERB,
adam,inf,The act of borrowing something as a loan to be returned later without the need for a additional payment.,Hiram.,Adam ya konan kapi'sa na a nisulot na ni Camille sinJS Promra.,The gown Camille wore during their Junior-Senior Prom was borrowed from her cousin.,VERB,
adaman,vl,Borrow something from someone.,Utangan; hiraman.,Niyawa' na komin mibubsat ni tatay ko a adaman nin aysing.,My father did not allow for us siblings to borrow one another's clothes.,VERB,
adamen,vo,To borrow something.,Hiramin.,Adamenkoya pay bulpin mo?,May Iborrowyour ballpoint pen?,VERB,
adani,adj,"For someone to be emotionally close, fond of or a kindred spirit with another.",Malapit.,Adani tamo' iti a palingki.,The market is reallyclose.,ADJ,
adap,adj,To go or head toward someone or something.,Patungo.,Adapya sa baytan a bali ra.,Their house isfacingeast.,ADJ,
adapen,vo,To look toward a time and so to the future.,Hinaharap.,Adapenmoy sira' nan awro.,Facethe sunlight.,VERB,
adat,n,A biting bitter taste such as the taste of eggplant out of season and lacking water.,Askad.,Kai naglat a adat nin bulong mustasa ta kai kinames nin asin.,The bitter acrid taste of mustard leaves was not eliminated because they were not squeezed with salt.,NOUN,
aday,n,The short stalks of rice cut by agamrangand may or may not have the grains or leaves attached.,Uhay.,"No mayadi' ka nin manaltag, unungen moy aday.","When you finish threshing, set aside the straw.",NOUN,
adayat,n,A large four-sided banana with distinct edges.,Uri ng saging.,Mas mamuda a adayat dyan latundan no ilako'.,The four sided banana is sold much cheaper than the small tasty ones.,NOUN,
adayo',adj,For two or more things to be far apart from each other.,Magkakalayo.,Adayo'a Amerika; kai ako nin mika' itaw.,America isfar away;I will not be able to go there.,ADJ,
adbays,n,"Advice, guidance or counsel given about what someone should do.",Payo.,"Si sayay maong nin rumnge' sa adbays, mabistay pirat'anan na.",One who is good at listening to advice will have a good outcome.,NOUN,
adbaysan,vl,To give advice to someone.,Payuhan.,Rispunsibilidad ran matua a adbaysan rasaray a'nak ra.,It is the parents responsibility to advise their children.,VERB,
addos,adj,Two pesos for one item.,Tigdos.,Addosa mangga.,Each mango coststwopesos.,ADJ,
addyis,adj,Ten peso per item.,Tagsampo.,,,ADJ,
aden,vo,To add something to get a sum of a number or value.,Sumahin.,Man'adenkoy naglakuan kon pising.,I amaddingmy sales of vegetables.,VERB,
adi,adj,Hidden or secret.,Tago.,Nadumog ran a'nak a adi nan tinapay ni baying ra.,The children discovered the bread their grandmother hid.,ADJ,
adi',n,"To be the most or highest grade of something above all else, exceptionally.",Hari.,Alaki yay bali na ni Coco dyan si palasyo nansayay adi'.,Coco's house is bigger than the palace of aking.,NOUN,
adik,n,To be addicted to something.,Adik.,Dinakep rayan pulis aadikta nanakaw ya.,The drugaddictwas arrested by the police for stealing.,NOUN,
adilanta,n,"Progress, advancement.",Pag-unlad.,Kasa gapon adilanta nin byay nan tawon matamlad.,The life of a lazy person will never progress.,NOUN,
adilantado,adj,The characteristic of being prompt or ahead of an expected stage of something.,Adelantado; maagap.,Adilantado a byay na ni Rolando ta nakayadi' sara nga'min nin pag'aadal ra a a'nak na.,Rolando's life is progressive for all of his children have finished their education.,ADJ,
adilpa,n,Oleander.,Adelpa.,Nalibed yan maburak ninadilpaa ugsuran mi.,Our backyard is surrounded byadelpain bloom.,NOUN,
administrador,n,Administrator.,Tagapangasiwa; tagapamahala.,Pwira ya a miyor main et nin administrador nin mangasikaso tan mangipalalako nin gubyirno sa babali.,Besides the mayor there is an administrator that looks after and manages the government of the town.,NOUN,
ado',n,The concept of love (general). It is a deep feeling and affection and can be used for the relationship between a man and a woman or God.,Pag-ibig.,Kai magawa' nin sidaen nin animan aado'ko komo.,It is not possible for anything to destroy mylovefor you.,NOUN,
adrigado,adj,"Not native to a place, an immigrant.",Dayo; dayuhan; estranghero; banyaga.,Adrigado ya in iti sa Bolinao ta taga Bicol ya.,That one is a immigrant here in Bolinao for he is from Bicol.,ADJ,
adris,n,Address.,Adres; tirahan.,"DMMMSU-CAF, Bacnotan, La Union aadrisnin pag'adalan ko.","My school'saddressis DMMMSU CAF, Bacnotan, La Union.",NOUN,
adti,intrg pron,"Identifies the hypothetical or specific location referred to when preceded by ""no"" forming a relative clause.",Kung saan.,Adtika nin ibat?,Whereare you coming from?,PRON,
adubi,n,"Adobe stone, quarry stone.",Adobe; batong silyar.,Nataladtad aadubia gaw'en nin bali.,There are rows of adobe stone for use in building a house.,NOUN,
adubo,n,Chicken or pork or both cooked in vinegar and soy sauce with black pepper and garlic.,Adobo.,Abaw saray tawon rabay-rabay ra a adubo.,Many people love adobo.,NOUN,
adudani,adj,"For someone to be more closely attached, closer to one's affection.",Malapit ang damdamin.,Adudani yay bali na ni Dado sa iskilawan dyan si bali na ni Juan.,Dado's house is closer to the school than Juan's.,ADJ,
aduen,vo,To love and value someone or thing with deep feeling and affection.,Mahalin.,Inado' nasaran maong nin pari-pariho nin sayay ina a a'nak na.,A mother greatly loves each of her children equally.,VERB,
adultiryo,n,Adultery.,Pakikiapid; pangangalunya.,Alakin kasalanan sa Catawan a Dios aadultiryo.,Adulteryis a great sin against the Lord God.,NOUN,
adurno,n,"Decorations, usually to make something look more elegant like carved cabinets and jewelry.",Adorno; dekorasyon; labor; palamutì.,,,NOUN,
adurnwan,vl,To adorn or decorate something.,Gayakan; ilagay ang arkos; magdekorasyon.,Adurnwanma pay intablado?,Will you pleasedecoratethe stage?,VERB,
adyan,vl,To hide from s/o.,Pagtaguan.,Adyan ran tutawo a kwiba sin panaon nin gira.,When it was the time of war people would hide in caves.,VERB,
adyos,intrj,"Good-bye, farewell.",Adiyos; paalam.,"Adyos, si Catawan a kialuyon komo.","Goodbye, the Lord be with you.",INTJ,
agab,n,Rustling of cattle or carabao or any other animal.,Pagnanakaw ng baka o kalabaw.,Masakit a agab sa aplan.,Rustling is rampant in the upland.,NOUN,
agaba',adj,For a surface to be comparatively wide or broad such as a piece of wood or a person's jaw.,Malapad.,Agaba' a abaya ran alalaki nin tawo.,The shoulders of big people are broad.,ADJ,
agabaen,vo,"To make a surface broad or wide, such as a bed, chair or frame.",Laparan.,Mabista no agabaen yay gaw'en nin dalagan ta pigaw abaw saray makaida'.,It is good to widen the bamboo bed that will be made so that many will be able to lie on it.,VERB,
agaben,vo,Stealing cattle or carabao that are out to pasture with the intention of slaughtering the animal.,Nakawin ang hayop.,"Itaw sa mapalyon nin lugar, agaben rasaray uayep abirno iti sara tamo' sa baraybay bali.",There in the uncivilized areas they rustle animals even if they are right here beside the house.,VERB,
agamang,n,"A fully enclosed storehouse on posts for dried grains like rice, corn, etc.",Kamalig.,Napno' yayagamangnin pari.,Thegranaryis full of rice.,NOUN,
agamir,n,The act of using something for a function in life.,Gamit.,Inmarunsa a byay na ni Elias nin agamir nay idukasyon na.,Elias' life was advanced by his utilization of his education.,NOUN,
agamiren,n,"To utilize something as a tool, usually with a negative connotation.",Gamitin.,Mailag ya si Almir sa agamiren na.,Almir is protective of his tools.,NOUN,
agap,n,A flat grater or shredder that is full of holes and grates off pieces as something is passed over it.,Gadgaran.,Mangdam ako panagapmoyo ta mangatsara akon papayas.,May I borrow yourgraterplease because I want to make papaya pickles.,NOUN,
agapen,vo,To shred or grate something on a flat grater.,Gadgarin.,"No mangatsara, agapen a maata' nin papayas mi'sa nin pespesan.","When making papaya relish, grate the green papaya and then squeeze the juice out.",VERB,
agaro,n,A tree that is hard and smooth and makes good lumber.,Kakawate.,,,NOUN,
agas,n,The pepperiness or pungency of something.,Anghang.,Kurang a agas nin pinapaitan ra.,Their intestinal dish does not have enough pungency.,NOUN,
agasan,vl,To make a food peppery or pungent.,Gawing maanghang.,Agasan mon luya nin urandis a ginataan mon langka'.,Make the jackfruit you cooked in coconut oil pungent by putting chili pepper.,VERB,
agawa,n,Diligence combined with promptness.,Sikhay.,Maistro yayna si Rolando bana' sa seseg tan agawa nan nag'adal.,Rolando is now a teacher because of his industriousness and diligence in studying.,NOUN,
agawawan,vl,To be diligent or assiduous with the object of accomplishing something while one has the opportunity.,Magsikhay.,Agawawanmoy mag'adal ta pigaw nin madali' kaynan mayadi'.,Beassiduousin your studies so that you will soon finish.,VERB,
agawid,vi,To go home.,Umuwi.,Agawid yan inawru-awro si Romy ibat sa Alaminos.,Romy comes home everyday from Alaminos.,VERB,
agayap,n,Native climbing long beans about 1/2 to 1 1/2 feet in length with a green or maroon color.,Sitaw.,Mas mataway a anenented nin agayap.,Short string beans taste much better.,NOUN,
agel,n,"Pith, the soft part of the trunk of the coconut tree and other plants.",Ubod.,Mataway nin gaw'en nin lumpya' nin sadiwa' a agel nin ungot.,Coconut pith is delicious when made into a fresh spring roll.,NOUN,
agila,n,"Eagle, a protected Philippine bird.",Agila.,Si agila a mantawagen ninNational Birdnan Pilipinas.,The eagle is called the National Bird of the Philippines.,NOUN,
aginaldo,n,Christmas gift.,Aginaldo; regalo.,No Abidad mako saray a'nak konran inay tan amay ra sa binyag kidawat nin aginaldo ra.,On Christmas kids go their godmothers and godfathers to ask for their Christmas gifts.,NOUN,
agiw,n,Spider's web.,Agiw.,Mangisit anay agiw sa tumben nin panglutuan sa ristauran.,The cobweb above the cooking area in the restaurant is now black.,NOUN,
agiw-agiw,n,"Hanging soot or cobwebs on the ceiling, etc.",Nakabiting agiw.,Mampanglat yan agiw-agiw si Nelda ta napno' anay gubida.,Nelda is removing cobwebs since the ceiling is now full of it.,NOUN,
agom,n,"Greed or covetousness, a desire to get more than your share.",Kasakiman.,"Saagomna, na'met nayna a sarban main na.","Due to hisgreed, he has lost everything that he owned.",NOUN,
agos,n,A body of water moving in a definite direction.,Agos.,Makapoy a agos nin ranom sa tubo kanya' nin kasan lumiwa' sa gripo.,The flow of water in the pipe is weak so there is no water that comes out from the faucet.,NOUN,
agosto,n prop,The month of August.,Agosto.,"Sin saytaw no bulan nin Agosto, ka'ba-ka'bawan nin mais.","In former times during the month of August, corn was very abundant.",PROPN,
agrabyado,adj,Aggrieved or feeling discontented from being treated wrongly or unfairly.,Agrabyado.,Agrabyadoako sa upa' a sanyasot saya awro.,Ifeel aggrievedwith a wage of one hundred pesos a day.,ADJ,
agrabyadwen,vo,To take advantage of a person by giving less than the proper share.,Agrabyaduhin.,Andi' moyo sara agrabyadwen a kapada moyon tawo.,Do not aggrieve your fellowmen.,VERB,
agrem,n,Low cry of pain or grief without opening the mouth.,Daing.,Marnge' a agrem nan main nin masakit sa rubari' nin kwarto.,The moan of the sick person can be heard in the next room.,NOUN,
agrikultura,n,Agriculture.,Agrikultura.,Si mangkalapen kon karira ket InhinyiroAgrikultura.,The course I am taking isAgriculturalEngineering.,NOUN,
agriminsor,n,Land surveyor.,Agriminsor.,Si sayay inhinyiro magwa' nay mag'in sayayagriminsor.,Anengineer can become a land surveyor.,NOUN,
agrisibo,adj,To be aggressive.,Agresibo.,,,ADJ,
