Tuwali Words,Root Word,,Affixes,,English Translation,Tagalog Translation,Meaning,Part of Speech
ahap,ahap,-,-,-,piece of meat,piraso ng karne,small uncooked pieces of meat given to helpers or neighbors at a feast,Noun
ahap,ahap,-,-,-,distribute,ipamahagi,to distribute pieces of meat at a feast,Verb
ahawa,ahawa,-,-,-,spouse; husband; wife,asawa,"refers to one’s marriage partner, either husband or wife",Noun
ahbu,ahbu,-,-,-,edge of a wall,gilid ng pader,"side or border of a stone or terrace wall, typically where one could walk or crawl along",Noun
ahenten,ahenten,-,-,-,traders; merchants; traders,negosyante,"refers to people engaged in commerce, buying and selling goods or doing business activities",Noun
ahhing,ahhing,-,-,-,assault,pag-atake,"to assault or abuse someone alternately, may be verbal or physical; to take turns assaulting",Verb
ahi,ahi,-,-,-,before,noong una,previous to; earlier or sooner than,Prepositions
ahi na,ahi,-,-,-na,he/she will be the one,siya,he/she will be the one,Pronoun
ahi-ka,ahi,-,-,-ka,you,ikaw,you will be the one / it will be you,Pronoun
ahiadug,adug,ahi-,-,-an,season of guarding rice fields,panahon ng pagbabantay sa palayan,Period when rice fields need to be guarded to prevent rice birds from eating grain,Noun
ahiani,ani,ahi-,-,-,season of harvest,panahon ng anihan,"Period of gathering crops, especially rice",Noun
ahibungan,bunga,ahi-,-,-,season of sowing seeds,panahon ng pagtatanim,Period of planting or sowing seeds in fields,Noun
ahigabut,gabut,ahi-,-,-,time of weaving,panahon ng paghahabi,"Period for cleaning, plowing, and preparing rice fields",Noun
ahigaud,gaud,ahi-,-,-,time of rice field preparation,panahon ng paghahanda ng palayan,Season or time when weaving takes place,Noun
ahihagophop,hagophop,ahi-,-,-,time of rice harvesting,panahon ng pag-aani,Refers to time when rice bundles are carried from the field,Noun
ahikagokoh,kagokoh,ahi-,-,-,time of harvesting root crops,panahon ng paghuhukay ng ugat,Season for harvesting root crops like yam or taro,Noun
ahikotolan,kotol,ahi-,-,-an,time of storing harvest,panahon ng pagtatabi ng ani,Period for storing grains or produce,Noun
ahikulpi,kulpi,ahi-,-,-,time of shelling rice grains,panahon ng pagbayo ng palay,Refers to time when rice is pounded to separate grains from husk,Noun
ahita,ahi,-,-,-ta,we (inclusive) will be the ones,kami,we (inclusive) will be the ones,Pronoun
ahiyak,ahiyak,-,-,-,I will be the one,ako,I will be the one,Pronoun
ahu,ahu,-,-,-,dog,aso,refers to any type of a dog,Noun
ahuk,ahuk,-,-,-,smoke,usok,refers to smoke produced by fire,Noun
ahuk,ahuk,-,-,-,smolder,umuusok,for a fire to be smoking,Verb
ahuti,ahuti,-,-,-,Boniato; Batata,Boniato; Batata,"type of sweet potato characterized by its white skin and yellow flesh, commonly used as food",Noun
ahuy,ahuy,-,-,-,persuade,manghikayat,to convince someone; to persuade,Verb
ahyadang,ahyadang,-,-,-,suspend,suspindihin,to hang up something horizontally,Verb
ak,ak,-,-,-,me,Ako,"Pronoun, first person",Pronoun
ak-ak,ak-ak,-,-,-,untangle,kalasin,to separate thread; pull apart without breaking as in separating thread; untangle,Verb
ak'i,ak'i,-,-,-,little girl; child,batang babae; anak,"term used to address a little girl, often one who is a close relative or very dear to the speaker",Noun
ak'ud,ak'ud,-,-,-,serve,maglingkod,to get cooked rice from the pot; to dish out rice,Verb
akad,akad,-,-,-,step,hakbang,to step forward; to pace,Verb
akang,akang,-,-,-,advance,advance,to step forward,Verb
akasya,akasya,-,-,-,acacia tree; acacia wood,akasya,Refers to the acacia tree or its wood,Noun
akbo,akbo,-,-,-,leap,tumalon,"to jump on to something, e",Verb
akbut,akbut,-,-,-,backpack,kabalyas; alphoras,"backpack or knapsack, traditionally made from animal hide, now commonly made from other materials.",Noun
akdang,akdang,-,-,-,stride;pace;step,hakbang;lakad,how someone moves their feet,Noun
akhop,akhop,-,-,-,lower,mas mababa,having little relative height; situated below normal height; low,Verb
akhop,akhop,-,-,-,humble,mapagkumbaba,having or showing a modest or low estimate of one's own importance,Adjectives
akhup,akhup,-,-,-,overtake,maabutan,to overtake someone; to catch up with; come upon someone,Verb
akhupana,akhup,-,-,-ana,conceal,takpan,keep from sight,Verb
aki,aki,-,-,-,envy,inggit,"to be selfish, jealous",Verb
akka,akka,-,-,-,Woah,Oh,surprised,Interjection
akkad,akkad,-,-,-,stilts,tukod,"Two poles with foot straps used to elevate a person when walking, usually made and played with by children for entertainment.",Noun
akkang,akkang,-,-,-,step,hakbang,to take a step,Verb
aklib,aklib,-,-,-,ransack,hinalughog,"to scatter things while searching for something; to get things and scatter them, mostly done by children when parents have put things up or away",Verb
akmul,akmul,-,-,-,suck,sipsipin,to suck; to lick something hard which is put in and out of the mouth like a lollipop,Verb
ako,ako,-,-,-,steal,magnakaw,to steal something from someone,Verb
aksidente,aksidente,-,-,-,accident,aksidente,"An undesirable, unexpected event that often causes harm, damage, or trouble.",Noun
aktor,aktor,-,-,-,actor,aktor,"person who performs in plays, movies, or other forms of entertainment",Noun
akup,akup,-,-,-,owl,kuwago,small species of owl,Noun
akup,akup,-,-,-,scoop,scoop,to scoop s,Verb
akuy,akuy,-,-,-,help,tulong,"to be kind to someone; to have compassion for someone, the feeling always results in giving help",Verb
akyam,akyam,-,-,-,spread,paglaganap,refers to vines and roots of plants that spread over an area,Verb
al-al,al-al,-,-,-,dizzy,nahihilo,panting of a dog or pig from excessive heat; breathe hard,Verb
al-ala,ala,al-,-,-,mock,pangungutya,to make fun of or joke about someone's characteristics or behavior,Verb
al-alikap,al-alikap,-,-,-,sweet potato,kamote,sweet potato variety,Noun
al-alkus,alkus,al-,-,-,decorate,palamutihan,to decorate something,Verb
al-aluk,aluk,al-,-,-,"to comfort, console",aliwin,to keep requesting / to keep asking repeatedly,Noun
al-u,al-u,-,-,-,pestle,halo; pambayo,heavy tool used for pounding rice to remove the husk or for crushing coffee beans,Noun
alabat,alabat,-,-,-,interrupt,humarang,to interrupt a conversation,Verb
alad,alad,-,-,-,fence; enclose,bakod,a fence; an enclosure of ground,Noun
aladana,alad,-,-,-ana,to build fence,babakuran,to put a fence along the ground,Verb
aladattan,dattan,a-,-,-an,yard,bakuran,"area surrounding a house, especially the spot where water from the eaves falls",Noun
aladdu,aladdu,-,-,-,key,susi,a key; a fastening tool used to open or secure something,Noun
aladu,aladu,-,-,-,plow,araro,"a farm implement with one blade and one handle, used to break up and prepare soil for planting",Noun
alagaag,alagaag,-,-,-,dig,maghukay,squealing of pigs,Verb
alak,ala,-,-,-k,I will take / I will get,kukunin ko,I will take / I will get,Verb
alal,alal,-,-,-,stagger,pagsuray-suray,to be dizzy from chewing betelnut or smoking strong tobacco,Verb
alalahi,alalahi,-,-,-,alalahi tree,puno ng alalahi,tree species with white flowers whose bark fibers are used for weaving cloth,Noun
alamanu,alamanu,-,-,-,handshake,pakikipagkamay,to shake hands in agreement,Verb
alambri,alambri,-,-,-,barbed wire,alambre,Barbed wire used for fencing areas such as pasture or ranch land,Noun
alan,ala,-,-,-n,to get,kunin,to come have or hold,Verb
alana,ala,-,-,-na,he/she will take / he/she will get,kukunin niya,he/she will take / he/she will get,Verb
alang,alang,-,-,-,granary,kamalig,"structure similar to a native house, sometimes with bamboo walls, and without attic support.",Noun
alanganin,alanganin,-,-,-,unsure,hindi sigurado,not certain,Adjectives
alangngaang,alangngaang,-,-,-,throat;esophagus,lalamunan,the passage connecting the mouth to the stomach.,Noun
alas,alas,-,-,-,hour,oras,Refers to a specific time of day expressed in hours,Noun
alate,alate,-,-,-,balance,balanse,"to move across something narrow suspended in the air, e",Verb
alawa,alawa,-,-,-,encounter,magkasalubong,to meet an omen-bird on the way; the bird crosses over the path,Verb
Alawag,Alawag,-,-,-,thanksgiving ritual,ritwal ng pasasalamat,traditional thanksgiving ritual performed after the rice harvest,Noun
alawit,alawit,-,-,-,yield,ani,to be influenced by someone or something,Verb
alaya,alaya,-,-,-,roam,gumala,to roam around,Verb
alayag,alayag,-,-,-,rope halter,lubid,"rope halter used for controlling or leading a carabao, especially when plowing or working in the fields",Noun
alayyon,alayyon,-,-,-,water spinach,kangkong,type of spinach-like leafy vegetable that grows around the edges of rice fields. It is edible and commonly gathered as a vegetable,Noun
alba,alba,-,-,-,glean,mamulot,to gather fallen fruit; something that most people don't want to do,Verb
albuwang,albuwang,-,-,-,boisterous laughter,malakas na pagtawa,"loud, boisterous, or raucous laughter, often associated with groups of people laughing together energetically",Noun
aldan,aldan,-,-,-,transfer,paglipat,to transfer; to move something to another place,Verb
aldo,aldo,-,-,-,edge of paddy,banong,first row of rice plants situated along the edge of the mud dike or at the slope in a rice field,Noun
aldong,aldong,-,-,-,encircle,palibutan,to surround someone; to gather around someone,Verb
alebet,alebet,-,-,-,pour,ibuhos,to rain in heavy steady drops,Verb
aleglo,aleglo,-,-,-,reconcile,magkasundo,to settle differences; to reconcile,Verb
alek-ek,alek,-,-,-ek-,guffaw,guffaw,"to laugh with a glottal catch; loud, hearty laughter; unstoppable laughter",Verb
algo,Algo,-,-,-,day/time,araw,a general period marked by hours,Noun
ali,ali,-,-,-,bring,dalhin,to bring; come with s,Verb
alibadbad,badbad,a-,-li-,-,wrestle,makipagbuno,wrestling; continuous wrestling without anyone being pinned,Verb
alibaddu,baddu,a-,-li-,-,mill,gilingan,to move about in a restricted area; mill around; to move about continuously,Verb
alibogbog,bogbog,a-,-li-,-,numb,manhid,"to be numb, the feeling of a part of the body after being depleted of blood flow; for a body part to be asleep",Verb
alibungbung,bungbung,a-,-li-,-,encircle,palibutan,to gather closely around someone or something; to encircle,Verb
alid,alid,-,-,-,fidget,malikot,to move around restlessly and without purpose,Verb
alig,alig,-,-,-,honeybee,pukyutan; pukyot,"species of small, light brown honeybee that nests in tree trunks or house walls",Noun
Aliguyon,Aliguyon,-,-,-,Aliguyon,Aliguyon,Proper name of the hero,Noun
aligwa,gwa,a-,-li-,-,spring,tagsibol,to spring up violently or suddenly after being quiet and still,Verb
alihb'uk,alihb'uk,-,-,-,swarm,kuyog,"a great number of anything continuously moving, compared to swirling dust",Verb
alikamen,alikamen,-,-,-,personal belongings; posessions,ari-arian; mga gamit,items or things personally owned or possessed by someone,Noun
alikbu,alikbu,-,-,-,grope,kakapa,"to search for and catch something; implies using the hands and feet and also that the thing being searched for is partially obscured, e",Verb
alikudukud,alikudukud,-,-,-,stamping noise,yabang,loud stamping or rumbling sound made by feet or the rumbling noise of thunde,Noun
alilaw,alilaw,-,-,-,confused,nalilito,unable to think clearly; bewildered,Adjectives
aliling,aliling,-,-,-,banana fiber,abaka,dried banana stalk used for tying or bundling things; finer strands are used for sewing,Noun
Alim,Alim,-,-,-,Alim,Alim,"ritual ballad that is part of Ifugao literature, performed during certain sacrificial rituals",Noun
alimadduwan,alimadduwan,-,-,-,soul; spirit of a sacrificed animal,kaluluwa ng inialay na hayop,"soul or spirit of an animal that has been sacrificed, mentioned or offered during rituals",Noun
alimahma,alimahma,-,-,-,glean,mamulot,to glean; gather last produce after main harvesting,Verb
Alimit,alimit,-,-,-,mulberry tree,moras; amoras,small variety of tree that grows on uncultivated land; its fruit is eaten by birds and squirrels,Noun
alimudung,alimudung,-,-,-,stagger,pagsuray-suray,to be dizzy from standing up quickly,Verb
alimungmung,alimungmung,-,-,-,crowd,karamihan ng tao,to crowd around; to cluster around someone or something,Verb
alin'u,alin'u,-,-,-,tingling of teeth; numbness of gums,pamamanhid o kiliti sa ngipin at gilagid,"tingling or numbing sensation in the teeth and gums, usually after eating sour fruit",Noun
alingangnga,nganga,a-,-li-,-,confuse,malito,"to be confused; disconcerted; bewildered; thrown into disorder, e",Verb
alino,alino,-,-,-,alino tree,punong alino,tree whose bark fibers are used for bundling or tying,Noun
alino,alo,-,-in-,-,harvest,ani,to get alino-tree fiber,Verb
alipit,alipit,-,-,-,cane; strand cane,panali,"thin rattan strips used for joining, binding, or attaching parts of an object",Noun
alipongot,pongot,a-,-li-,-,adorn,magpalamuti,to arrange the hair in this particular style and adding jewelry,Verb
alipuhhapu,alipuhhapu,-,-,-,dust devil,ipo-ipo,"small rotating wind that moves dust upward in a spiral, usually seen on streets or open dusty areas",Noun
alittan,alittan,-,-,-,string for spinning a top,tali ng trumpo,string used to spin a top by winding it around the nail of the top and releasing it,Noun
alittu,alittu,-,-,-,hasten,magmadali,to move quickly,Verb
aliwahhang,aliwahhang,a-,-li-,-,glimpse,sulyap,"an image of something or someone that is not easily identified due to lack of light, or having only a glimpse of it",Verb
aliwwan,aliwwan,-,-,-,retained placenta,naiwang inunan,"The clotted blood and pieces of placenta sometimes retained after childbirth, which cause painful uterine contractions as the body tries to expel them",Noun
alkohol,alkohol,-,-,-,alcohol,alkohol,liquid used as a disinfectant or for lighting lamps,Noun
alkoholan,alkohol,-,-,-,dab,dab,to rub alcohol on something or someone,Verb
alkus,alkus,-,-,-,decorations,palamuti,Ornaments or decorative items used to beautify a place,Noun
alkus,alkus,-,-,-,decorate,palamutihan,to decorate,Verb
Alla,Alla,-,-,-,Alla,Alla,The name of a mountain located west of central Kiangan,Noun
alla,alla,-,-,-,pout,ngumuso,to act in a childish or capricious way,Verb
allaga,allaga,-,-,-,red ant,Hantik; Antik,species of red ant,Noun
allage,allage,-,-,-,mourn,magdalamhati,to mourn or lament a death,Verb
allama,allama,-,-,-,crab,alimango,type of crab,Noun
allate,allate,-,-,-,balance,balanse,"to move, by walking carefully to maintain balance on a strip or narrow path",Verb
allawin,allawin,-,-,-,snail container,sisidlan ng suso,"bamboo tube or dried gourd used as a container for collecting snails, worn at the hip",Noun
allilaw,lilaw,al-,-,-,bewilder,nakakalito,to confuse someone; to bewilder someone,Verb
allung,allung,-,-,-,shelter,kubo,simple hut or lean-to without walls used as a temporary shelter,Noun
alluwang,luwang,al-,-,-,channel,channel,to make a channel for water by making culverts,Verb
almador,almador,-,-,-,almador,almador,traditional white sleeveless blouse,Noun
almas,almas,-,-,-,weapons,sandata,tools or instruments used in warfare,Noun
almidor,almidor,-,-,-,starch,almidon,"starch made from cassava or rice, cooked and mixed with water, used in laundry",Noun
almot,almot,al-,-,-,peeved,tampo,"to be upset/peeved about something, with the source of the feeling in focus",Verb
alnus,alnus,-,-,-,birch tree,himbabao,"tree whose wood burns easily, even if not fully dried",Noun
alo,alo,-,-,-,hurl,ihagis,to throw something at another,Verb
alog,alog,-,-,-,snuffle,snuffle,to have a cold,Verb
alol'ok,ol'ok,al-,-,-,gurgle,gurgle,gurgling sound,Verb
altap,altap,-,-,-,place in the sky; a level grassy area,langit,"ritual language, refers either to a location in the sky or to a flat, grassy area of land",Noun
altar,altar,-,-,-,altar,altar; dambana,"a sacred table used in religious rites for offerings, sacrifices, or other ceremonial purposes",Noun
alte,alte,-,-,-,liver,atay,internal organ of humans or animals; can also be used figuratively in expressions,Noun
altista,altista,-,-,-,actor; actress,artista,person who performs in plays or dramas,Noun
altitu,titu,al-,-,-,march,martsa,to march,Verb
altugan,altugan,-,-,-,forehead,noo,uppermost part of the head,Noun
alubyag,ubyag,al-,-,-,flatter,mambola,to try to obtain someone's favor,Verb
aluguug,aluguug,-,-,-,throat; gullet; pharynx; Adam's apple,lalamunan; gulugod,passage in the neck that connects the mouth and nose to the esophagus and lungs; includes the Adam’s apple,Noun
aluhi-i,aluhi-i,-,-,-,algae,lumot,"type of algae that floats on water, initially green and later turning violet, used as fertilizer for mulch mounds",Noun
aluk,aluk,-,-,-,please,pakiusap,to do something to please someone,Verb
alukiki,alukiki,-,-,-,banana blossom's heart; banan flower,puso ng saging,"white, edible inner portion of the banana plant’s heart, cooked and eaten as food",Noun
alumenta,alumenta,-,-,-,metal,bakal,type of metal used in tools or other objects,Noun
aluminum,aluminum,-,-,-,aluminum,aluminyo,"lightweight metal used in cooking utensils, containers, and various other objects",Noun
alup,alup,-,-,-,betelnut container,lalagyan ng nganga,"container made by folding a betelnut palm leaf, used for holding betelnuts",Noun
alupingping,alupingping,-,-,-,temple,pilipisan; palipisan; sintido,"area of the forehead located at the sides, above and beside the eyes; commonly referred to as the temple",Noun
alut’on,alut’on,-,-,-,hot coals; smoldering embers,uling na kahoy,firewood that is burning or smoldering at one end,Noun
alutiptip,tiptip,alu-,-,-,burn,paso,burning sensation when urinating; urge to urinate,Verb
aluul,aluul,-,-,-,howl,humagulgol,for dogs to howl continuously; the howling is similar to the loud cries of women when they mourn,Verb
aluwog,aluwog,-,-,-,whirlpool,alimpuyo,"a whirlpool, water current, or swirling motion of water",Noun
aluyu,aluyu,-,-,-,sacrifice,sakripisyo,to offer sacrifice to gods,Verb
am-am,am-am,-,-,-,hoard,mag-imbak,to get almost everything for oneself regardless of the needs of others; greed causes one to get all of something; characteristic of selfish children,Verb
am-ama,am-ama,-,-,-a,old man,matandang lalaki,"refers to an elderly man, generally around 60 years old",Noun
