Iloko,English
maysa a rabii ket nadanunam nga adda bisita...,one evening you noticed there was a visitor.
kayatmo ti sumurot kadagiti gayyemmo...,you want to go with your friends.
nasabatmo iti bigbigat ti maestram...,you met your teacher in the morning.
nabayagkayo a saan nga nagkinnita...,you haven't seen each other for a long time.
apay dinak nakita a sumungad?,didn't you see me coming?
kadawyan nga aggian ti pusa iti uneg ti balay.,cats usually live inside the house.
naturog ti buaya idiay sirok ti kayo.,the crocodile is sleeping under the tree.
ti surat ket adda idiay rabaw ti lamisaan.,the letter is on top of the table.
simrek dagiti makimisa iti uneg ti simbaan.,the churchgoers entered inside the church.
tiniliw ni oli daydiay manok a timmayab idiay rabaw ti kayo.,oli caught the chicken that flew on top of the tree.
nangala ni pedro ti badona iti uneg iti kabinet.,pedro got his clothes from inside the cabinet.
indisso ni nena tay suratna iti rabaw iti lamisaan.,nena placed her letter on top of the table.
kada mangan kami ni tarsi nga asomi ket aggian idiay ruar iti lamisaan.,"whenever we eat, my dog tarsi will stay outside the table."
agin-inana ni tatang idiay sirok iti kayo.,father is resting under the tree.
nadanunak idiay ruar iti paraanganmi dagiti barangay opisial nga agur-uray kenni tatangko.,i noticed the barangay officials waiting for my father outside our yard.
adu ti billit nga agtatayab idlay ruar ti kayo.,there are many birds flying outside the tree.
nakaturog daydiay pusa idiay sirok ti lamisaan.,that cat is sleeping under the table.
dagiti tattao ket adda amin idlay uneg ti gym.,the people are all inside the gym.
nagipan ni noel ti pantalonna iti uneg ti kabinet.,noel placed his pants inside the cabinet.
dagiti ubbing ket addada amin idlay ruar ti paraangan.,the children are all outside in the yard.
nagigalut iti indayan diay sirok ti manga ni tatang.,father is cutting firewood under the mango tree.
adda idiay rabaw ti kabinet diay libro.,the book is on top of the cabinet.
adda amin dagiti nakimisa idiay uneg ti simbaan.,all the mass attendees are inside the church.
napan diay ruar iti kalsada dagiti nakabulas a kalding.,the loose goats went outside to the road.
makitam daydiay naduma-duma a prutas iti uneg ti basket.,you can see the various fruits inside the basket.
pilien ti tignay a maiyannatop,choose the verb that is appropriate
nagdalus iti pagmulaanda ti masetas.,cleaned where the saplings will be planted.
nagkali iti abut a pagibellengan.,they dug a pit for the garbage.
nagpuros ti sabsabong idiay hardin.,they picked the flowers in the garden.
nagay-ayam da renato kenni tatangna...,renato and his father played...
ikkatenna a dagus ti ulesna...,she immediately removes her blanket
pinunno ni mario ti dakkel a banga...,mario filled the big jar...
nagbagkat pay isuna ti adayo nga kayo...,he also carried the long piece of wood...
"umuna, mangala ti dua a piraso ti tinapay.","first, get two pieces of bread."
"kalpasanna, pagkinnaluben diay dua a pidaso ti tinapay.","after that, put the two pieces of bread together."
"sumaruno, pulagidan ti peanut butter.","next, spread the peanut butter."
"maudi, sayaaten a balkoten daydiay tinapay.","finally, neatly wrap the bread."
papuduten daydiay mantika sakbay nga ipisok diay itlog.,heat the oil before putting in the egg.
agsukatak ti badok a para balay.,i change into my home clothes.
pirma wenno tao a nagsurat,signature or the person who wrote
petsa ken naggapuan ti surat,date and place of origin
lima a parte ti surat,five parts of a letter
agyamanak ti panangawis mo kaniak...,thank you for inviting me...
awisenka nga umay ditoy balaymi...,i am inviting you to come to our house...
kayatmi koma nga ipakada daytoy anakmi...,we would like to excuse our child...
agyamanak ti panangawis mo kaniak iti kasangaymo.,thank you for inviting me to your birthday.
agkitata ngarud dita balayyo inton sabado.,let's meet at your house on saturday.
awisenka nga umay ditoy balaymi inton kasangay ni adingko...,i'm inviting you to go to our house on my sibling's birthday..
nammnamaemmi ti naan-anay a pannakaawatyo.,we are hoping for your understanding.
kanayon a bilbilinen ni ngilaw ti anakna...,the fly always reminded her child...
...saannak a matiliw ta napardasak a tumayab,...i won't be caught because i can fly fast
napan ngarud daytoy rabaw ni tukak.,so it went on top of the frog.
"anian a malasna, natiliwna ti anak a ngilaw.","unfortunately, the young fly was caught."
...binagsolna ti bagina ket natay.,...she hit herself and died.
husto laeng ti naumong ni pusa.,the cat only gathered enough.
nagumong ti ado a taraon ni pusa,the cat gathered a lot of food
inawis ti pusa ti aso...,the cat invited the dog...
nasakit nga maipagna ti saka ti aso.,the dog's foot was painful to walk on.
atiddog ti kayo a natumba.,the tree that fell is tall.
napukaw ti lapisko a nangisit.,i lost my black pencil.
nagpidot ni juan ti puraw a bato.,juan picked up a white stone.
dakkel a tinapay ti kinnanna.,he ate a big bread.
berde ti bulbulong ti marunggay.,the leaves of the malunggay are green.
marapuso ti pinggan ni ading.,my younger sibling's plate is heart-shaped.
adda nasabat ko a puraw a pusa.,i met a white cat.
nagtaray ken naglemmeng ti natimbukel a bato.,it ran and hid behind a round stone.
...idiay rabaw ti ababa a lamisaan.,...on top of the short table.
ugedan ti... ken timbukelan ti...,underline the... and encircle the...
pilien ti sungbat iti kahon,choose the answer from the box
nalamiis ti pul-oy ti angin.,the breeze of the wind is cold.
nakersang ti kayo ti salamagi.,the trunk of the tamarind tree is rough.
nabara ti bagi ti ubing.,the child's body is warm.
naraniag ti bulan idi rabii.,the moon was bright last night.
nauilmek ni jose idiay siled-pagbasaan.,jose is quiet in the library.
nagswab test dagiti naggapu idiay ballasiw-taaw.,those from overseas took a swab test.
gunay-pag-ong ni lolong isu nga kanayon a maudi.,grandfather is a slowpoke so he's always last.
kuarto a masarakan dagiti liblibro,room where books are found
taray-kabalio ti nangabak nga atleta.,the athlete who won runs like a horse.
nakakulong ti bantay-balay ni david.,david's watchdog is in a cage.
simmangpet idi kalman ni manang naggapu iti ballasiw-taaw.,my sister arrived yesterday from overseas.
agaw-sipnget idi pimmanaw ni nanang.,it was dusk when mother left.
gunay-pag-ong nga agwalis ni alvin.,alvin sweeps like a slowpoke.
nagswab test dagiti naggapu idiay ballasiw-taaw.,those from overseas took a swab test.
dagiti dua nga ubbing ket singpet-kiteb,the two children are shy.
nagdrowing ni jose iti bulan-laud ken bituin.,jose drew the night sky and stars.
agulimekka no addaka iti siled-pagbasaan.,you must be quiet if you are in the library.
tagpi ti nagan ti bantay-balay.,the watchdog's name is tagpi.
naragsak nga agay-ayam dagiti ubbing ti pitik-bulag.,the children are happily playing hide and seek.
nabayag a nakadanun ni jose ta isuna ket gunay-pag-ong.,jose took a long time to arrive because he is a slowpoke.
minarisan ni lyka ti drowingna a bulan-laud.,lyka colored her drawing of the night sky.
agaw-sipnget idi nakasangpet ni tatang jose a naggapu diay bangkag.,it was dusk when father jose arrived from the farm.
sinabatmi dagiti kabagian a naggapu iti ballasiw-taaw.,we met relatives who came from overseas.
nabuntog ni jose. gunay-pag-ong isuna.,jose is slow. he is a slowpoke.
agay-ayam ti pitik-bulag dagiti dua nga agkabsat.,the two siblings are playing hide and seek.
nagtugaw a dagus dagiti singpet-kiteb nga ubing idi simmangpet ni nanangda.,the shy children immediately sat down when their mother arrived.
haan unay a nalawag ti bulan-laud.,the night sky is not very clear.
napaguntan ti ubing a tangken-ulo.,the stubborn child was scolded.
tumanaol ti bantay-balay idi rabii.,the watchdog barked last night.
napan nagtrabaho ni manangko idiay ballasiw-taaw.,my older sister went to work overseas.
dagiti dua nga ubbing ket singpet-kiteb.,the two children are shy.
dakkel ti kabalio a nakitak.,the horse i saw is big.
nalukmeg ti kabalio ni tatang jose.,tatang jose's horse is fat.
nawara ti basura nga adda iti lata.,the garbage in the can is scattered.
narugit ti basura nga agkawara.,the scattered garbage is dirty.
nagpasiarak idiay nalawa a bangkag.,i strolled in the spacious farm.
natulnog nga anak ni ella.,ella is an obedient child.
gimmatang ni arnold ti dakkel a pakwan.,arnold bought a big watermelon.
nagaget ken nadayaw nga ubing ni carol.,carol is a hardworking and respectful child.
pinagpagna ni peter ti atiddog a kalsada.,peter walked the long road.
adu ti bunga ti bayabas.,the guava has many fruits.
ababa ti nagatangna a tali.,the rope he bought is short.
narasi ti sanga ti marunggay.,the branch of the malunggay is brittle.
nasipnget iti uneg ti kueba.,it is dark inside the cave.
imbelleng ni jose ti naangot a basura.,jose threw away the smelly garbage.
nagna isuna iti nakipet a dalan.,he walked on the tight path.
nananam ti kinnanko nga spaghetti.,the spaghetti i ate was delicious.
adu ti bunga ti mangga.,the mango has many fruits.
naingpis ti libro a basbasaek.,the book i am reading is thin.
nadagsen ti karga ti timba.,the load carried by the pail is heavy.
dakkel ti bunga ti papaya.,the papaya fruit is big.
nasadot nga agluto ni tom.,tom is lazy to cook.
ababaw ti danum idiay karayan.,the water in the river is shallow.
adu ti gayyem nga inawis ni nora... ngem bassit ti immay.,nora invited many friends... but few came.
dagiti sao nga addaan ti dua wenno tallo a silaba,words with two or three syllables.
usto kadi iti inaramid da arman?,was what arman did right?
siasinno dagiti kangrunaan a tulungan?,who are the primary people to help?
"malaksid iti kinalaing a tumulong, ania pay iti abilidad ni arman?","besides skill in helping, what other ability does arman have?"
agur-urnos dagiti mannursuro ti modules.,the teachers are organizing the modules.
agpukpukan ti kayo ni tata ben.,tata ben is chopping wood.
agtartaray nga summurot ti aso.,the dog is running after him.
"makitam nga adda agwalwalis, agpunpunas...","you will see someone sweeping, wiping..."
adda met ub-ubbing nga agur-umos...,there are also children organizing...
adda met dagiti ubbing nga agaw-awit ti lib-libro.,there are also children carrying books.
adda met aggus-gusgos nga ubbing.,there are also children scrubbing.
"kalpasanna, naglinis ken nagpintas ti pagadalanda.","afterwards, their school became clean and beautiful."
naggaget da tatang ken nanang.,father and mother are hardworking.
da manong ken tatang ti mangtartarakenen.,older brother and father are the ones who take care of the animals
nalukmeg ti taraken ni anie nga aso.,anie's pet dog is fat.
gummatang ni nanang ti baro nga bado.,mother bought a new dress.
mapan kami agpasiar idiay plasa inton domingo.,we will go for a stroll at the plaza on sunday.
inay-ayat ko ni nanang ta kanayonnak nga ikkan ti balonko.,i love mother because she always gives me my allowance.
agtartaray ti baboy idiay karayan.,the pig is running by the river.
napan ni kapitan gimmatang ti payong.,the captain went to buy an umbrella.
naragsak ti paskua idiay san nicolas.,christmas was merry in san nicolas.
dua nga agsaruno a pauni,two consecutive consonant sounds in a single syllable
nagawid ti manong ken manang.,the older brother and older sister went home.
napan nagdigos ni mario idiay waig.,mario went to bathe at the creek.
magmagna ni ana a mapan pagadalan.,ana will walk to school.
agluto ni inangko ti meriendami madamdama.,my mother will cook our snack later.
nagliwliw ti tukak ni amangko.,my grandfather will catch frogs.
mangmanganak ti nateng ken prutas isunga natibker ti bagik.,i eat vegetables and fruits so my body is strong.
gimmatangak ti maysa a bulig a saba.,i bought one cluster of bananas.
nalaka itatta ti maysa a reppet nga utong.,one bunch of string beans is cheap now.
nangina ti maysa a kaban a bagas.,one sack of rice is expensive.
tiniklis a mangga ti naapit idiay kamanggaanda.,a bunch of mangoes was harvested from their mango farm.
naikkan ti maysa a atado a gatas ti pamilia reyes.,the reyes family was given one pack of milk.
sagmannano ti maysa nga kahon ti tarong?,how much is one box of eggplants?
ti grupo dagiti musikero ket nagtukarda.,the group of musicians performed.
ti kabsat da a bassit ket nalabid.,their youngest sibling is restless.
naulimek ti agnaed iti kataltalunan.,it is quiet living in the farm.
adu ti nararaman a makan a lako ni manang isabel.,older sister isabel sells many delicious foods.
ti pamilia aquino ket nakurapay ti panagbiagda.,the aquino family has a poor life.
adu a lames ti naala ni tatanako.,many fish were caught by my father.
kanayon a mangmangan ni manongko ti makan.,my older brother always eats food.
nasam-it ti naluom a mangga.,the ripe mango is sweet.
isurat iti nagan mo ti uneg ti timbukel.,write your name inside the circle.
marisan ti duyaw ti sao a mangibaga ti nagan ti bulan.,color the word that names a month yellow.
timbukelan ti kinatao mo: lalaki babae,encircle your gender: male female
agnanaed diay probinsia ni apongko.,my grandfather lives in the province.
adda nalawa a taltalonna. adu ti dingwen a tarakenna.,he has a wide field. he has many animals he raises.
"tallo kadagitoy ti magusgustuak: maysa a kalding, nuang, ken kabalio.","i like three of them: one goat, carabao, and horse."
diay kalding... mangmangled ti naimas a gatas.,the goat... gives delicious milk.
diay kabalio... maguyodna diay bassit a kariton.,the horse... pulls the small cart.
ti nuang ti kadadakkelan... maguyodna diay paglugluganak a kariton.,the carabao is the biggest... it pulls my riding cart.
adda maysa a kalapaw idiay nangato a bantay.,there is a hut on the high mountain.
agdalan ka't dan-aw ken kayo a kas rangtay.,you will walk across the lake and a tree like a bridge.
"ditoy kalapaw adda kawitan, ni lolo ambo a kapitan.","here in the hut is the leader, captain lolo ambo."
nagsayaat ti lamiis a kumablaaw kadagiti mairana a dumap-aw.,the cool breeze nicely greets the arriving visitors.
"iti kalapaw no inda maturog, mayepyep a dagus sadanto agurok.","when they sleep in the hut, it is instantly peaceful until they snore."
napan ni val ken ni miki idiay igid-baybay.,val and miki went to the seaside.
...a nagpaangin ken nagpasiar iti tingnga-aldaw.,...to get some air and stroll at noon.
ti saan a panagsurot ti bilin ket panangipakita ti awanan-dayaw kadakuada.,not following instructions is a show of disrespect towards them.
nasipnget iti rabii no awan ti kuriente.,it is dark at night when there's no electricity.
naimas ti inluto ni nanangko a tinola.,delicious was the tinola my mother cooked.
naturog kami idiay kalapaw ni tatangko.,we slept in my father's hut.
nalangto dagiti mula ni tatangko.,my father's plants are lush.
pakibagam kenni pong ta umay ditoy.,please tell pong to come here.
napan diay dapon ni nanang.,mother went to the store.
nagsagad dagiti agkabsat diay arubayan.,the siblings played in the yard.
naumus dagiti ubbing nga adda diay maikadua a tukad.,the children in the second grade are orderly.
naragsakda nga agpaspasiar idiay minuyungan.,they are happily strolling in the orchard.
gimmatang iti maysa a kilo a bagas,bought one kilo of rice
ni boboy ket adda tarakenna nga aso.,boboy has a pet dog.
ti nuang ket maysa a makatulong unay iti tao.,the carabao is very helpful to people.
ni jomar ket maysa nga nasingpet nga ubing.,jomar is a kind child.
adu nga adal ken sursuro ti maala tayo iti libro.,we can get many lessons and learnings from a book.
apay nalabaga dayta pingping mo?,why are your cheeks red?
yehey! kasangay kon inton bigat.,yehey! my birthday is tomorrow.
siak ti gimmatang iti ice cream.,i am the one who bought the ice cream.
isuna ti gimmatang ti merienda.,he is the one who bought the snack.
siak ti nagwalis ti paraangan.,i was the one who swept the yard.
sika ti mangala ti bayabas.,you are the one to get the guava.
isuda ti agay-ayam ti basketbol.,they are the ones playing basketball.
umno ken husto a wagas ti panagsurat,correct and proper way of writing
aglutoak ti almusal para kaniana.,i will cook breakfast for him
kinatungtong datayo a mapan ageskwela.,they talked to us about going to school.
dakayo da ana ti nangawis kadakuada.,you and ana were the ones who invited them.
adda kotse ni ana a nalabbaga. kaniana daytoy kotse.,ana has a red car. this car is hers.
napidot ni jose ti lapis ko. masapul nga isubli na kaniak.,jose picked up my pencil. he needs to return it to me.
daytoy ti balay mi. kaniami daytoy.,this is our house. this is ours.
"adda dua a tiket ti sine ni carlo, kayatna nga ipadawat dagitoy kenni mario a gayyemna tapno maragsakan met isuna ken mapadasna met ti makaserrek iti sinean.","carlo has two movie tickets, he wants to give these to his friend mario so that he will also be happy and he can also experience entering the cinema."
bantay ti nagan ti uken ni juan.,bantay is the name of juan's dog.
inaldaw-aldaw a pakanen ken painumenna.,he feeds and gives it water every day.
naragsakda nga agpaspasiar idiay taltalon.,they happily take walks in the field.
ni argel ket maysa nga agad-adal ti maikadua a tukad.,argel is a second-grade student.
"maysa a bigat, isuna ket nakapayong a magmagna ta agtudtudo.","one morning, he was walking with an umbrella because it was raining."
nalabasan na ti gayyem na nga agur-uray ti isardeng ti tudo.,he passed by his friend who was waiting for the rain to stop.
"gapu ta awan payongna, dinagas ni argel ken pinayungan na metten nga apan idiay pagadalan.","because his friend had no umbrella, argel shared his umbrella with him on the way to school."
adda ti kabaelanna a trabaho iti balay.,she has chores at home.
“ado ti masapul nga lippasen ni nanang.”,mother has many things to finish.
ada dagiti bado nga malabaan. narugit ti uneg ken ruar ti balay.,there are clothes to be washed. the inside and outside of the house are dirty.
"inayaban ni pia ni emma ta agay-ayamda, ngem nappanunot ni emma.","pia invited emma to play, but emma was thoughtful."
"simmungbat, imbagana a saanen ta mapan tumulong laengen ken nanangna.",she answered and said she wouldn't go and would just help her mother.
magusgustuan ni pining ti mangan ti kendi ken dadduma a sinam-it.,pining likes to eat candy and other sweets.
maliwayanna ti aggisigis kadagiti ngipenna.,she neglects to brush her teeth.
"gapu iti daytoy, ribrib ti pammarangna ken agsakitsakit pay ti binukbok a ngipenna.","because of this, she has cavities and her decayed tooth also aches."
"“agrubwatka ta mapanta sadiay klinika ti dentista,” kinuna ni nanangna.","get ready so we can go to the dental clinic, said her mother."
“liklikam ti mangan ti adu a sinam-it. aggisigiska met a kanayon...”,avoid eating a lot of sweets. also brush your teeth always...
"“agyamanak unay,” kinuna ni pining.","thank you very much, said pining."
ti maris ti matana ket kasla maris ti danum idiay baybay.,the color of her eyes is like the color of the water in the sea.
nabuntog a magna ni adingko kasla pag-ong.,my younger sibling walks stoutly like a turtle.
diay nuangmi ket dakkel a kasia bantay.,our carabao is big like a mountain.
napartak nga agtaray ti kabalio kaparteak kas ti motorsiklo.,the horse runs as fast as a motorcycle.
aggelgellap ti badona a baro a kasla diamante.,her new dress sparkles like a diamond.
"ubingak a bassit, nasiglat, nasaririt.",my small child is energetic and talented.
"nalaingak a kumanta, nalaingak pay nga agsala.","i am good at singing, i am also good at dancing."
"uray pay agbasa, agdrowing ken agsurat.","also to read, draw, and write."
"siak ti tuladem, dika agbabain gayyem.","imitate me, don't be shy, friend"
adda bassit a pato. nalamuyot ti dutdotna.,there is a small duck. its feathers are soft.
natirad a sippitna ken nakuttong ti gurongna.,it has a flat beak and a short neck.
adda dakkel a pusak a maris dapo.,i have a big cat colored gray.
lima ti annakna a babassit.,she has five small offspring.
nakakidem pay laeng dagiti matada.,their eyes are still closed.
iti mabiit agmulagatdanto. agtubonto metten ti dutdotda.,soon they will open their eyes. their fur will also grow.
ti tren tren ket maysa nga ay-ayam.,the train is a toy.
naimas ti arroz caldo a makan.,arroz caldo is a delicious food.
nalabaga ti maris ti rosas.,the color of the rose is red.
awan suli ti nagbukel a sukog.,a round shape has no corners.
ni nana maria ket adda isuna diay minuyungan.,nana maria was in the orchard.
nakakita isuna ti dakkel nga uleg a nakapotipot iti puon ti maysa a kayo.,she saw a big snake coiled around the base of a tree.
dagus nga nagtaray isuna gapu iti kigtotna ken butengna.,she immediately ran because of her shock and fear.
ti sakit nga coronavirus 2019 covid-19 ket sakit iti pagangesan.,the coronavirus disease 2019 is a respiratory sickness.
uray asinno ket mabalin a makaptan iti daytoy nga sakit.,anyone can catch this sickness.
dagiti tao nga agsaksakit ket maalisanda iti sabali nga tao.,sick people can transmit it to other people.
awan ti pilpillienna iti daytoy nga virus.,this virus does not discriminate.
saan nga pakampanti ta ditayo ammo no sino iti adda sakitna.,don't be complacent because we don't know who is sick.
miting maipakaammo ti proyekto panagdaldalus,meeting to announce the cleaning project
"sabado, alas dos ti malem, disyembre 19, 2020","saturday, 2 pm, december 19, 2020"
"saammo nga sangka iggem iti matam, agong ken bibigmo.","do not touch your eyes, nose, and mouth."
abbungann iti ngiwat mo no aguyekka ken no agbahing.,cover your mouth when you cough and sneeze.
agdian iti uneg ti balay no adda iti sakit mo.,stay inside the house if you are sick.
